City/Community,Latitude,Longitude,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20
City of Beverly Hills,34.077973,-118.401463,4,0,1,2,6,0,3,4,7,4,6,8,0,12,0,5,1,0,0,2,1,0,2,2,0,0,2,0,14,5,1,2,1,0,1,1,0,1,0,2,2,2,1,1,2,-1,1,2,1,0,1,0,3,2,-1,1,0,0,0,1,2,0,0,2,4,1,2,1,1,-1,1,0,1,1,3,2,1,2,1,2,3,3,7,4,5,2,12,2,1,6,2,2,2,0,3,1,11,11,6,2,6,3,0,0,58,2,5,18,2,20,21,17,13,17,6,28,19,10,14,0,6,15,6,-1,5,3,0,0,0,4,4,2,1,2,2,2,-1,3,7,2,5,5,1,1,0,6,0,3,1,1,3,3,6,0,1,3,9,3,4,0,0,0,0,3,2,3,3,0,1,0,2,8,3,5,2,2,2,5,1,3,4,3,2,0,6,4,4,7,1,2,4,-1,6,1,1,3,-1,2,3,4,1,1,0,2,2,1,4,1,0,0,0,5,0,7,11,2,0,1,1,0,1,3,8,1,0,4,9,6,10,6,8,1,3
City of Bradbury,34.15345,-117.968512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,1,-1,0
City of Burbank,34.187365,-118.323732,0,0,1,3,1,10,2,2,6,12,2,9,11,9,7,2,4,5,8,4,2,1,5,4,5,4,13,0,7,10,19,18,15,5,11,3,4,8,3,4,11,4,4,10,13,5,3,8,4,1,10,4,11,9,4,3,5,6,4,3,5,2,1,9,10,3,1,1,4,3,2,1,0,3,0,1,9,1,5,2,5,5,5,2,2,2,16,2,9,6,10,26,3,5,5,7,6,13,13,12,6,4,0,0,24,7,24,11,5,17,21,14,12,23,15,25,7,7,11,10,12,21,13,13,23,4,13,4,42,14,10,6,7,16,7,19,25,13,5,10,8,6,11,9,12,9,12,15,5,18,13,13,17,7,5,9,13,12,10,5,4,5,4,16,5,14,9,6,3,4,2,7,7,5,5,6,3,14,13,10,17,13,8,15,11,5,10,19,6,10,5,19,15,9,8,7,1,14,14,15,10,12,10,4,1,12,19,13,12,7,18,10,8,16,31,21,4,8,14,12,8,11,10,13,14,6,19,9,19,19,17,19,21
City of Calabasas,34.137358,-118.668533,1,1,0,1,2,3,0,1,2,0,0,3,0,4,0,0,0,1,2,0,0,2,1,0,0,0,0,-1,4,0,2,0,2,1,0,0,1,0,2,1,0,5,1,2,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,5,0,1,0,2,3,5,12,3,1,1,1,3,2,0,2,1,1,2,0,1,-1,0,0,1,2,1,1,1,4,1,3,3,2,2,5,2,4,2,0,0,5,0,3,1,1,3,3,3,4,1,3,3,0,7,1,4,2,7,2,2,3,2,1,1,3,2,2,0,2,1,2,1,2,3,0,0,1,0,3,2,0,1,0,1,3,1,0,1,4,0,0,0,0,0,0,1,1,0,4,0,1,2,2,1,0,0,4,1,1,2,1,1,0,2,4,1,1,2,0,1,4,2,0,1,0,0,1,0,5,2,2,0,0,1,1,0,3,1,0,4,1,2,2,4,2,0,0,-3,1,2,1,7,0,0,4,0,6,1,0,1,1,2,2,3,4,6,2,2,2
City of Carson,33.837833,-118.255323,2,2,1,12,0,5,2,7,4,5,11,8,6,14,10,3,8,-1,10,5,0,3,8,4,2,8,6,2,12,18,10,8,5,6,1,9,8,4,6,7,0,7,4,10,11,6,2,9,5,3,9,12,4,8,6,3,1,6,8,2,2,6,4,7,7,8,5,7,2,3,11,12,8,10,5,8,6,8,13,7,11,7,7,9,7,4,6,7,7,6,4,8,8,9,10,9,14,13,9,10,8,14,0,0,51,12,18,19,10,12,31,20,14,34,17,34,12,24,17,21,28,22,11,18,33,8,12,10,25,34,25,22,2,18,14,16,35,19,21,5,16,6,11,17,28,14,6,5,6,31,30,18,20,2,6,10,11,8,13,16,5,5,6,5,6,9,5,6,5,4,4,4,11,5,7,4,-1,6,4,7,8,12,2,4,2,10,4,2,4,6,7,6,6,2,4,5,-1,6,11,11,6,13,4,4,1,8,6,7,8,0,5,5,3,29,11,12,6,7,5,13,13,8,8,9,3,8,12,8,11,18,6,6,15
City of Cerritos,33.867515,-118.068483,0,0,0,0,-1,0,3,1,1,2,2,1,4,5,3,4,2,0,1,2,0,1,0,1,0,1,2,1,2,2,2,1,2,0,1,0,1,1,1,1,3,1,1,3,0,3,1,3,2,0,5,4,4,1,0,3,2,3,6,1,2,4,3,1,6,2,2,2,4,1,4,0,1,2,3,1,2,0,3,3,5,2,2,0,4,3,2,2,2,4,9,7,7,3,3,0,8,3,9,5,6,7,0,0,10,5,8,13,5,7,6,9,8,13,9,7,11,8,0,1,4,6,4,3,10,4,2,6,5,5,8,1,1,3,1,5,7,4,5,4,3,3,6,12,3,7,2,1,0,9,2,0,2,2,2,2,9,2,3,1,1,5,0,3,2,1,2,1,2,3,1,2,1,0,1,0,1,0,3,6,2,2,1,1,1,0,4,4,1,2,1,2,3,2,2,-1,4,5,6,6,4,3,0,0,2,2,5,0,0,0,4,2,1,9,5,4,2,1,2,1,5,7,1,5,0,2,3,3,5,1,4,1,5
City of Claremont,34.096047,-117.71686,0,0,1,0,0,0,0,0,1,1,0,1,-1,2,1,0,2,2,0,0,2,0,1,0,0,1,1,0,1,3,2,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,2,0,2,2,3,0,4,5,2,2,0,1,0,1,6,1,1,2,2,0,-1,0,1,5,4,2,2,2,1,3,4,1,2,5,3,2,5,0,0,16,3,4,6,4,2,7,9,2,8,6,9,3,7,5,2,2,3,3,1,4,7,5,5,3,4,5,1,1,3,0,8,6,3,5,7,2,5,2,2,9,4,2,1,5,5,1,2,1,0,4,2,3,5,2,2,2,3,1,-1,1,2,1,2,1,2,3,2,1,0,5,-3,0,2,2,2,5,3,2,0,2,2,1,0,0,0,2,2,2,1,6,1,-1,8,2,0,1,0,0,2,5,3,3,0,0,0,4,1,5,7,4,6,1,5,3,2,3,9,2,1,0,2,2,6,3,1,3,1,13
City of Commerce,33.996161,-118.151913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,2,1,0,0,0,0,0,1,0,0,2,0,0,0,-1,2,0,1,2,2,0,2,1,0,0,0,0,1,6,8,4,1,1,3,0,11,1,0,13,4,1,4,-1,2,3,1,1,5,0,4,4,13,7,2,3,0,8,7,3,0,4,5,7,10,2,4,4,5,2,4,9,5,5,0,0,15,7,12,7,3,6,7,5,10,10,9,14,7,4,3,14,4,10,5,4,8,0,4,3,13,4,0,12,4,2,4,6,12,6,4,3,7,4,3,4,6,6,8,0,5,2,4,4,3,-1,3,0,3,2,0,7,3,5,3,3,0,3,4,3,0,1,1,3,0,2,0,0,0,3,5,5,2,4,3,2,3,5,4,2,1,0,3,0,4,0,0,1,2,0,1,0,3,1,3,-1,1,0,1,0,0,0,2,1,0,13,5,2,0,3,1,10,8,3,3,1,4,3,6,4,5,4,5,1,4
City of Compton,33.893486,-118.22554,1,0,1,3,2,2,2,2,3,3,5,2,5,3,2,2,6,5,5,7,3,1,5,2,7,4,2,6,24,11,14,16,11,6,2,8,7,7,8,6,5,2,6,18,12,6,6,9,5,7,8,18,8,13,18,6,7,22,18,14,9,15,18,18,23,10,16,26,36,20,24,18,24,25,24,23,27,21,20,22,25,31,25,16,19,26,29,17,19,41,33,48,38,14,31,31,35,62,46,31,35,26,0,0,103,31,61,29,18,74,42,63,39,73,24,80,48,47,44,43,45,49,25,28,76,21,24,62,75,49,37,53,17,33,25,29,56,39,50,22,24,39,38,28,49,43,16,11,22,26,27,39,22,9,20,8,29,14,7,30,11,13,15,10,14,27,30,14,5,6,10,24,9,26,7,9,7,13,18,14,16,15,11,13,18,12,15,19,11,2,10,6,8,16,5,10,2,11,19,21,15,19,8,8,11,9,12,14,15,5,15,6,6,57,21,28,8,6,11,22,13,14,15,17,11,21,23,28,25,30,25,20,15
City of Covina,34.089347,-117.88219,0,2,0,1,-1,0,3,2,-1,2,2,0,3,4,4,2,4,5,2,3,5,3,5,3,1,2,0,1,5,3,5,6,3,2,2,2,0,4,4,1,0,6,0,0,0,3,1,2,1,0,4,3,2,1,4,5,1,3,1,4,1,4,1,2,10,0,2,6,6,10,3,2,6,7,7,3,7,5,0,6,7,6,7,4,8,7,8,2,4,12,8,14,15,7,10,14,8,26,18,24,7,16,0,0,59,11,16,18,6,27,17,33,23,20,14,23,13,14,11,26,18,17,15,9,12,11,12,17,19,19,15,12,9,2,9,15,17,16,15,10,16,13,11,12,18,12,6,7,6,13,2,3,16,4,10,5,7,7,4,6,1,8,5,5,7,13,14,3,1,10,5,8,0,11,3,3,4,0,5,2,8,5,2,11,5,14,19,5,6,1,4,6,12,3,4,6,0,3,6,3,4,4,2,6,1,3,8,7,1,3,3,4,1,19,7,4,2,3,7,1,2,11,6,8,4,6,8,12,12,9,18,6,23
