City of Agoura Hills	1563	7485	20	96
City of Alhambra	8543	9851	221	255
City of Arcadia	3579	6197	149	258
City of Artesia	2500	14885	81	482
City of Avalon	35	905	0	0
City of Azusa	7710	15408	133	266
City of Baldwin Park	14981	19514	343	447
City of Bell	7774	21397	128	352
City of Bell Gardens	9221	21409	122	283
City of Bellflower	13425	17270	219	282
City of Beverly Hills	3802	11014	36	104
City of Bradbury	42	3929	0	0
City of Burbank	11821	11029	263	245
City of Calabasas	1899	7807	35	144
City of Carson	12584	13409	275	293
City of Cerritos	3973	7935	62	124
City of Claremont	3047	8352	66	181
City of Commerce*	2767	21172	42	321
City of Compton	20146	20165	291	291
City of Covina	8054	16426	185	377
City of Cudahy	5495	22570	66	271
City of Culver City	3108	7796	116	291
City of Diamond Bar	4191	7287	94	163
City of Downey	21184	18540	328	287
City of Duarte	2861	12995	101	459
City of El Monte	19548	16669	467	398
City of El Segundo	1164	6934	10	60
City of Gardena	8188	13355	218	356
City of Glendale	25932	12558	714	346
City of Glendora	6272	11887	208	394
City of Hawaiian Gardens	2638	17975	27	184
City of Hawthorne	13035	14681	246	277
City of Hermosa Beach	1673	8505	11	56
City of Hidden Hills	146	7725	2	106
City of Huntington Park	12717	21379	188	316
City of Industry	197	45080	5	1144
City of Inglewood	17275	15209	356	313
City of Irwindale	314	21522	7	480
City of La Canada Flintridge	1188	5741	17	82
City of La Habra Heights	131	2401	2	37
City of La Mirada	5621	11333	136	274
City of La Puente	7696	18910	133	327
City of La Verne	3777	11348	66	198
City of Lakewood	9862	12272	129	161
City of Lancaster*	30457	18851	352	218
City of Lawndale	4424	13161	60	178
City of Lomita	2034	9812	47	227
City of Long Beach	67365	13918	1058	218
City of Lynwood*	15370	21333	258	358
City of Malibu	743	5733	12	93
City of Manhattan Beach	2243	6231	19	53
City of Maywood	5912	21077	98	349
City of Monrovia	4204	10835	86	222
City of Montebello	11854	18414	240	373
City of Monterey Park	5776	9277	209	336
City of Norwalk	19091	17739	420	390
City of Palmdale	31460	19790	372	234
City of Palos Verdes Estates	721	5332	10	74
City of Paramount	11680	20849	178	318
City of Pasadena	13990	8019	368	210
City of Pico Rivera	12961	20162	291	453
City of Pomona	30416	19506	515	330
City of Rancho Palos Verdes	2262	5292	64	150
City of Redondo Beach	4423	6438	57	83
City of Rolling Hills	92	4742	3	155
City of Rolling Hills Estates	459	5658	8	99
City of Rosemead	5762	10410	168	304
City of San Dimas*	4171	12084	101	293
City of San Fernando	6171	25073	73	297
City of San Gabriel	3842	9381	220	537
City of San Marino	506	3811	10	75
City of Santa Clarita	29013	13162	301	137
City of Santa Fe Springs	3479	18945	49	267
City of Santa Monica	7190	7778	196	212
City of Sierra Madre	699	6361	13	118
City of Signal Hill	1525	12927	11	93
City of South El Monte	3924	18789	76	364
City of South Gate	21852	22263	263	268
City of South Pasadena	1803	6921	49	188
City of Temple City	2878	7895	130	357
City of Torrance	10301	6901	247	165
City of Vernon	143	68421	0	0
City of Walnut	2238	7330	41	134
City of West Covina	15825	14621	308	285
City of West Hollywood	3837	10384	45	122
City of Westlake Village	160	1914	1	12
City of Whittier	13596	15550	285	326
Los Angeles	625213	15458	10748	266
Los Angeles - Adams-Normandie	1410	17191	18	219
Los Angeles - Alsace	1904	15299	21	169
Los Angeles - Angeles National Forest	5	12500	0	0
Los Angeles - Angelino Heights	359	14349	6	240
Los Angeles - Arleta	8067	23471	126	367
Los Angeles - Atwater Village	1802	12287	29	198
Los Angeles - Baldwin Hills	3718	11945	80	257
Los Angeles - Bel Air	621	7367	3	36
Los Angeles - Beverly Crest	967	7721	6	48
Los Angeles - Beverlywood	1381	10484	4	30
Los Angeles - Boyle Heights*	19667	22636	329	379
Los Angeles - Brentwood	2289	7395	20	65
Los Angeles - Brookside	51	8778	2	344
Los Angeles - Cadillac-Corning	900	12639	10	140
Los Angeles - Canoga Park	11322	17341	182	279
Los Angeles - Carthay	1380	9608	79	550
Los Angeles - Central	8530	21876	142	364
Los Angeles - Century City	902	7051	15	117
Los Angeles - Century Palms/Cove	7451	22067	112	332
Los Angeles - Chatsworth	4868	13135	88	237
Los Angeles - Cheviot Hills	688	7502	9	98
Los Angeles - Chinatown	974	12143	16	199
Los Angeles - Cloverdale/Cochran	2007	13791	29	199
Los Angeles - Country Club Park	1900	12539	83	548
Los Angeles - Crenshaw District	1922	13898	35	253
Los Angeles - Crestview	1392	12245	47	413
Los Angeles - Del Rey	2822	9427	35	117
Los Angeles - Downtown*	5617	20420	55	200
Los Angeles - Eagle Rock	4558	11513	121	306
Los Angeles - East Hollywood	3892	13289	134	458
Los Angeles - Echo Park	1734	12163	23	161
Los Angeles - El Sereno	7345	17568	116	277
Los Angeles - Elysian Park	681	11922	5	88
Los Angeles - Elysian Valley	1525	14994	28	275
Los Angeles - Encino	4810	10648	76	168
Los Angeles - Exposition	462	13891	7	210
Los Angeles - Exposition Park	7504	16706	94	209
Los Angeles - Faircrest Heights	387	10750	3	83
Los Angeles - Figueroa Park Square	1657	19000	32	367
Los Angeles - Florence-Firestone	10778	22717	132	278
Los Angeles - Glassell Park	4185	13242	64	203
Los Angeles - Gramercy Place	1790	16630	34	316
Los Angeles - Granada Hills	8476	14566	203	349
Los Angeles - Green Meadows	4637	21562	57	265
Los Angeles - Hancock Park	1509	8856	7	41
Los Angeles - Harbor City	3370	11593	39	134
Los Angeles - Harbor Gateway	6190	14197	86	197
Los Angeles - Harbor Pines	231	9589	2	83
Los Angeles - Harvard Heights	2935	16274	73	405
Los Angeles - Harvard Park	8566	22581	111	293
Los Angeles - Highland Park	6878	14213	115	238
Los Angeles - Historic Filipinotown	2397	17282	82	591
Los Angeles - Hollywood	8032	11768	79	116
Los Angeles - Hollywood Hills	2485	8443	27	92
Los Angeles - Hyde Park	4832	16930	96	336
Los Angeles - Jefferson Park	1389	17205	17	211
Los Angeles - Koreatown	6502	12578	130	251
Los Angeles - Lafayette Square	643	14104	9	197
Los Angeles - Lake Balboa	6747	15986	72	171
Los Angeles - Lakeview Terrace	2723	20734	43	327
Los Angeles - Leimert Park	2141	14053	25	164
Los Angeles - Lincoln Heights	5918	18155	188	577
Los Angeles - Little Armenia	1373	17109	90	1121
Los Angeles - Little Bangladesh	3329	11745	34	120
Los Angeles - Little Tokyo	534	17044	12	383
Los Angeles - Longwood	704	16357	9	209
Los Angeles - Los Feliz	1639	7585	29	134
Los Angeles - Manchester Square	1291	15124	16	187
Los Angeles - Mandeville Canyon	216	6914	1	32
Los Angeles - Mar Vista	3107	7316	37	87
Los Angeles - Marina Peninsula	260	5963	2	46
Los Angeles - Melrose	10485	13495	227	292
Los Angeles - Mid-city	1589	10572	46	306
Los Angeles - Miracle Mile	1534	8529	19	106
Los Angeles - Mission Hills	5253	21775	133	551
Los Angeles - Mt. Washington	3387	14028	66	273
Los Angeles - North Hills	11093	18015	163	265
Los Angeles - North Hollywood	26011	17178	401	265
Los Angeles - Northridge	9726	13935	196	281
Los Angeles - Pacific Palisades	1243	5838	15	70
Los Angeles - Pacoima	19630	25500	247	321
Los Angeles - Palisades Highlands	224	5824	1	26
Los Angeles - Palms	3621	8253	67	153
Los Angeles - Panorama City	15578	20702	290	385
Los Angeles - Park La Brea	950	6996	1	7
Los Angeles - Pico-Union	7982	19077	247	590
Los Angeles - Playa Del Rey	197	6164	1	31
Los Angeles - Playa Vista	934	8532	12	110
Los Angeles - Porter Ranch	3493	9815	48	135
Los Angeles - Rancho Park	555	8460	2	30
Los Angeles - Regent Square	339	12194	3	108
