City of Agoura Hills	5804	27793	23	110
City of Alhambra	21616	24925	266	307
City of Arcadia	11059	19148	172	298
City of Artesia	5156	30700	88	524
City of Avalon	66	1706	0	0
City of Azusa	15866	31707	159	318
City of Baldwin Park	26549	34583	392	511
City of Bell	15562	42833	145	399
City of Bell Gardens	15662	36363	142	330
City of Bellflower	27260	35068	274	352
City of Beverly Hills	10360	30012	47	136
City of Bradbury	67	6268	0	0
City of Burbank	28371	26470	336	313
City of Calabasas	5084	20902	40	164
City of Carson	30953	32983	331	353
City of Cerritos	11239	22448	88	176
City of Claremont	8398	23018	90	247
City of Commerce*	5170	39559	48	367
City of Compton	37001	37037	336	336
City of Covina	17145	34967	209	426
City of Cudahy	11279	46326	81	333
City of Culver City	9883	24791	140	351
City of Diamond Bar	11530	20047	113	196
City of Downey	41567	36378	392	343
City of Duarte	6359	28884	126	572
City of El Monte	37995	32400	541	461
City of El Segundo	3630	21625	16	95
City of Gardena	19397	31638	272	444
City of Glendale	52770	25555	908	440
City of Glendora	14068	26662	255	483
City of Hawaiian Gardens	4684	31916	31	211
City of Hawthorne	26316	29639	278	313
City of Hermosa Beach	4166	21179	12	61
City of Hidden Hills	351	18571	2	106
City of Huntington Park	24573	41310	219	368
City of Industry	466	106636	6	1373
City of Inglewood	33807	29764	396	349
City of Irwindale	612	41947	10	685
City of La Canada Flintridge	3920	18944	22	106
City of La Habra Heights	173	3171	2	37
City of La Mirada	12408	25017	190	383
City of La Puente	14578	35821	155	381
City of La Verne	8348	25083	84	252
City of Lakewood	23433	29159	173	215
City of Lancaster*	57390	35520	449	278
City of Lawndale	9525	28336	74	220
City of Lomita	5280	25472	59	285
City of Long Beach	146437	30256	1309	270
City of Lynwood*	27993	38854	296	411
City of Malibu	2611	20145	13	100
City of Manhattan Beach	6471	17975	30	83
City of Maywood	11745	41873	106	378
City of Monrovia	10157	26178	107	276
City of Montebello	22432	34846	286	444
City of Monterey Park	14943	24000	242	389
City of Norwalk	37979	35289	476	442
City of Palmdale	60113	37815	454	286
City of Palos Verdes Estates	1935	14310	14	104
City of Paramount	21173	37793	213	380
City of Pasadena	34694	19887	423	242
City of Pico Rivera	24573	38226	339	527
City of Pomona	58513	37525	597	383
City of Rancho Palos Verdes	6457	15105	86	201
City of Redondo Beach	13417	19531	71	103
City of Rolling Hills	245	12629	3	155
City of Rolling Hills Estates	1298	15999	11	136
City of Rosemead	13502	24394	196	354
City of San Dimas*	9753	28256	130	377
City of San Fernando	11684	47473	81	329
City of San Gabriel	9610	23465	253	618
City of San Marino	2033	15312	14	105
City of Santa Clarita	64849	29420	402	182
City of Santa Fe Springs	7254	39501	56	305
City of Santa Monica	23092	24979	255	276
City of Sierra Madre	2025	18428	25	228
City of Signal Hill	3521	29847	13	110
City of South El Monte	7460	35719	91	436
City of South Gate	43298	44112	320	326
City of South Pasadena	5486	21057	62	238
City of Temple City	8454	23190	160	439
City of Torrance	29417	19708	316	212
City of Vernon	336	160766	0	0
City of Walnut	6403	20971	49	160
City of West Covina	35041	32375	378	349
City of West Hollywood	9982	27014	62	168
City of Westlake Village	347	4151	2	24
City of Whittier	27803	31800	347	397
Los Angeles	1372796	33941	12934	320
Los Angeles - Adams-Normandie	2923	35638	18	219
Los Angeles - Alsace	4097	32921	23	185
Los Angeles - Angeles National Forest	6	15000	0	0
Los Angeles - Angelino Heights	746	29816	8	320
Los Angeles - Arleta	15392	44783	135	393
Los Angeles - Atwater Village	4400	30001	35	239
Los Angeles - Baldwin Hills	8979	28848	117	376
Los Angeles - Bel Air	2155	25566	6	71
Los Angeles - Beverly Crest	2995	23912	9	72
Los Angeles - Beverlywood	3736	28361	5	38
Los Angeles - Boyle Heights*	37161	42771	376	433
Los Angeles - Brentwood	7500	24229	30	97
Los Angeles - Brookside	128	22031	2	344
Los Angeles - Cadillac-Corning	2141	30066	14	197
Los Angeles - Canoga Park	23051	35306	209	320
Los Angeles - Carthay	3764	26206	91	634
Los Angeles - Central	16033	41119	161	413
Los Angeles - Century City	3227	25227	18	141
Los Angeles - Century Palms/Cove	14815	43875	133	394
Los Angeles - Chatsworth	11332	30577	122	329
Los Angeles - Cheviot Hills	2199	23978	10	109
Los Angeles - Chinatown	2445	30482	23	287
Los Angeles - Cloverdale/Cochran	4744	32598	32	220
Los Angeles - Country Club Park	4332	28588	93	614
Los Angeles - Crenshaw District	4715	34095	47	340
Los Angeles - Crestview	3419	30076	53	466
Los Angeles - Del Rey	7489	25017	44	147
Los Angeles - Downtown*	14233	51743	68	247
Los Angeles - Eagle Rock	11933	30142	155	392
Los Angeles - East Hollywood	8549	29190	156	533
Los Angeles - Echo Park	4076	28591	28	196
Los Angeles - El Sereno	15426	36897	143	342
Los Angeles - Elysian Park	1638	28676	6	105
Los Angeles - Elysian Valley	3258	32032	33	324
Los Angeles - Encino	13367	29591	95	210
Los Angeles - Exposition	1155	34726	8	241
Los Angeles - Exposition Park	16316	36325	108	240
Los Angeles - Faircrest Heights	1103	30639	6	167
Los Angeles - Figueroa Park Square	3380	38757	38	436
Los Angeles - Florence-Firestone	21277	44846	159	335
Los Angeles - Glassell Park	9816	31059	75	237
Los Angeles - Gramercy Place	3683	34216	43	399
Los Angeles - Granada Hills	19215	33021	259	445
Los Angeles - Green Meadows	9329	43381	66	307
Los Angeles - Hancock Park	4201	24655	12	70
Los Angeles - Harbor City	8356	28744	53	182
Los Angeles - Harbor Gateway	14106	32353	104	239
Los Angeles - Harbor Pines	554	22997	3	125
Los Angeles - Harvard Heights	5723	31733	80	444
Los Angeles - Harvard Park	16594	43743	130	343
Los Angeles - Highland Park	15470	31969	143	296
Los Angeles - Historic Filipinotown	4912	35415	93	671
Los Angeles - Hollywood	19335	28328	118	173
Los Angeles - Hollywood Hills	6767	22990	31	105
Los Angeles - Hyde Park	10559	36996	115	403
Los Angeles - Jefferson Park	2884	35724	22	273
Los Angeles - Koreatown	14822	28673	152	294
Los Angeles - Lafayette Square	1488	32639	11	241
Los Angeles - Lake Balboa	14383	34078	95	225
Los Angeles - Lakeview Terrace	5289	40273	50	381
Los Angeles - Leimert Park	5087	33390	32	210
Los Angeles - Lincoln Heights	11673	35810	221	678
Los Angeles - Little Armenia	2750	34268	113	1408
Los Angeles - Little Bangladesh	7978	28148	39	138
Los Angeles - Little Tokyo	1288	41111	14	447
Los Angeles - Longwood	1566	36385	14	325
