City of Agoura Hills	1022	4894	18	86
City of Alhambra	6796	7836	203	234
City of Arcadia	2679	4639	133	230
City of Artesia	2057	12248	69	411
City of Avalon	16	414	0	0
City of Azusa	6247	12484	115	230
City of Baldwin Park	13049	16998	293	382
City of Bell	6732	18529	113	311
City of Bell Gardens	8299	19268	109	253
City of Bellflower	10641	13689	193	248
City of Beverly Hills	2647	7668	32	93
City of Bradbury	35	3274	0	0
City of Burbank	8740	8155	233	217
City of Calabasas	1225	5036	32	132
City of Carson	9535	10160	236	251
City of Cerritos	3011	6014	56	112
City of Claremont	2246	6156	53	145
City of Commerce*	2387	18265	40	306
City of Compton	16853	16869	224	224
City of Covina	6344	12938	154	314
City of Cudahy	4759	19547	59	242
City of Culver City	2182	5473	105	263
City of Diamond Bar	3207	5576	80	139
City of Downey	17359	15192	288	252
City of Duarte	2298	10438	92	418
City of El Monte	17063	14550	420	358
City of El Segundo	702	4182	6	36
City of Gardena	6232	10165	182	297
City of Glendale	19661	9521	594	288
City of Glendora	4752	9006	174	330
City of Hawaiian Gardens	2209	15052	18	123
City of Hawthorne	10340	11646	197	222
City of Hermosa Beach	977	4967	10	51
City of Hidden Hills	89	4709	2	106
City of Huntington Park	11159	18760	165	277
City of Industry	168	38444	6	1373
City of Inglewood	13430	11824	297	261
City of Irwindale	249	17066	6	411
City of La Canada Flintridge	747	3610	15	72
City of La Habra Heights	111	2035	1	18
City of La Mirada	4226	8520	110	222
City of La Puente	6646	16330	117	287
City of La Verne	2849	8560	50	150
City of Lakewood	7200	8959	91	113
City of Lancaster*	21739	13455	268	166
City of Lawndale	3545	10546	54	161
City of Lomita	1440	6947	28	135
City of Long Beach	52479	10843	920	190
City of Lynwood*	13253	18395	228	316
City of Malibu	405	3125	7	54
City of Manhattan Beach	1322	3672	18	50
City of Maywood	5188	18496	86	307
City of Monrovia	3150	8119	75	193
City of Montebello	10101	15691	204	317
City of Monterey Park	4778	7674	186	299
City of Norwalk	16011	14877	356	331
City of Palmdale	24232	15243	302	190
City of Palos Verdes Estates	446	3298	9	67
City of Paramount	9858	17596	145	259
City of Pasadena	11169	6402	339	194
City of Pico Rivera	11050	17189	260	404
City of Pomona	24140	15481	441	283
City of Rancho Palos Verdes	1474	3448	53	124
City of Redondo Beach	2735	3981	46	67
City of Rolling Hills	54	2784	2	103
City of Rolling Hills Estates	274	3377	8	99
City of Rosemead	4907	8865	133	240
City of San Dimas*	3195	9257	89	258
City of San Fernando	5228	21242	61	248
City of San Gabriel	3209	7836	192	469
City of San Marino	381	2870	9	68
City of Santa Clarita	20122	9129	258	117
City of Santa Fe Springs	2841	15470	36	196
City of Santa Monica	4687	5070	181	196
City of Sierra Madre	464	4222	13	118
City of Signal Hill	1129	9570	8	68
City of South El Monte	3406	16308	61	292
City of South Gate	18504	18852	223	227
City of South Pasadena	1304	5005	38	146
City of Temple City	2340	6419	117	321
