,City/Community,Latitude,Longitude,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
318,Unincorporated - Valinda,34.039402,-117.931788,3774,16148,15843,71,304,310,23371
319,Unincorporated - View Park/Windsor Hills,33.995636,-118.348841,708,6085,6339,14,120,62,11635
320,Unincorporated - Walnut Park,33.969159,-118.221719,3077,19061,18833,53,328,364,16143
321,Unincorporated - West Antelope Valley,34.764495,-118.571712,57,3772,4930,1,66,28,1511
322,Unincorporated - West Carson,33.825166,-118.292716,2277,10310,9877,136,616,381,22086
323,Unincorporated - West LA,34.055557,-118.455017,234,24580,22397,17,1786,1000,952
324,Unincorporated - West Puente Valley,34.042319,-117.958665,1725,17539,17194,22,224,216,9835
325,Unincorporated - West Rancho Dominguez,33.890656,-118.263075,201,14790,14550,5,368,293,1359
326,Unincorporated - West Whittier/Los Nietos,33.978731,-118.067945,4248,15777,15531,84,312,291,26925
327,Unincorporated - Westfield/Academy Hills,33.777154,-118.356453,44,3385,3594,0,0,0,1300
328,Unincorporated - Westhills,34.192386,-118.66252,42,5006,6021,0,0,0,839
329,Unincorporated - White Fence Farms,34.621624,-118.168018,284,7711,7992,2,54,36,3683
330,Unincorporated - Whittier,34.01183,-118.035023,321,8483,8497,10,264,180,3784
331,Unincorporated - Whittier Narrows,34.034179,-118.062312,14,116667,67362,1,8333,3606,12
332,Unincorporated - Willowbrook,33.919012,-118.236547,6113,17509,17745,92,264,330,34913
333,Unincorporated - Wiseburn,33.909707,-118.365784,521,8644,8506,12,199,178,6027
334,Unincorporated - Charter Oak,34.058593,-117.872684,0,0,0,0,0,0,20
335,Unincorporated - Harbor Gateway,33.852233,-118.29822,0,0,0,0,0,0,1
336,Unincorporated - West Chatsworth,34.225342,-118.660415,0,0,0,0,0,0,12
337,City of Long Beach,33.768683,-118.193374,53607,11076.1926,,945,195.2543886,,483984
338,City of Pasadena,34.147772,-118.144383,11328,6493.588384,,349,200.0584698,,174449
