,City/Community,Latitude,Longitude,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
81,City of Walnut,34.026332,-117.842314,1771,5800,5874,39,128,92,30532
82,City of West Covina,34.071623,-117.940172,12964,11978,11736,266,246,209,108235
83,City of West Hollywood,34.090421,-118.370723,2386,6457,6524,39,106,72,36951
84,City of Westlake Village,34.144461,-118.798775,117,1400,1419,1,12,8,8360
85,City of Whittier,33.974549,-118.033988,11186,12794,12656,243,278,258,87432
86,Los Angeles - Adams-Normandie,34.029168,-118.302471,1209,14740,14339,18,219,223,8202
87,Los Angeles - Alsace,34.029518,-118.362359,1603,12881,12625,19,153,214,12445
88,Los Angeles - Angeles National Forest,34.271741,-118.270808,5,12500,3344,0,0,0,40
89,Los Angeles - Angelino Heights,34.068386,-118.251997,290,11591,11965,6,240,241,2502
90,Los Angeles - Arleta,34.24198,-118.432247,7119,20713,20270,115,335,368,34370
91,Los Angeles - Atwater Village,34.115653,-118.257841,1430,9750,9820,27,184,134,14666
92,Los Angeles - Baldwin Hills,34.015103,-118.356156,2775,8916,9106,64,206,162,31125
93,Los Angeles - Bel Air,34.098543,-118.460043,407,4829,5604,2,24,13,8429
94,Los Angeles - Beverly Crest,34.112721,-118.424323,659,5261,6136,5,40,22,12525
95,Los Angeles - Beverlywood,34.04488,-118.394534,946,7181,7540,2,15,17,13173
96,Los Angeles - Boyle Heights,34.037767,-118.205363,17549,20198,20178,304,350,428,86884
97,Los Angeles - Brentwood,34.085266,-118.486201,1588,5130,5023,17,55,40,30955
98,Los Angeles - Brookside,34.059099,-118.336275,33,5680,6390,2,344,290,581
99,Los Angeles - Cadillac-Corning,34.042316,-118.381937,722,10139,9910,10,140,141,7121
100,Los Angeles - Canoga Park,34.208313,-118.601142,9503,14555,14405,170,260,325,65289
101,Los Angeles - Carthay,34.071259,-118.372874,959,6677,9286,74,515,331,14363
102,Los Angeles - Central,34.016414,-118.25807,7660,19645,20105,133,341,562,38992
103,Los Angeles - Century City,34.052414,-118.418918,637,4980,5834,14,109,51,12792
104,Los Angeles - Century Palms/Cove,33.932513,-118.268073,6315,18702,18894,98,290,463,33766
105,Los Angeles - Chatsworth,34.256595,-118.596153,3708,10005,10368,80,216,148,37061
106,Los Angeles - Cheviot Hills,34.041244,-118.409804,464,5059,5560,7,76,39,9171
107,Los Angeles - Chinatown,34.061769,-118.241141,739,9213,9354,15,187,104,8021
108,Los Angeles - Cloverdale/Cochran,34.039013,-118.356498,1613,11084,10758,23,158,162,14553
109,Los Angeles - Country Club Park,34.054658,-118.325255,1561,10302,9943,79,521,397,15153
110,Los Angeles - Crenshaw District,34.023079,-118.335898,1483,10724,10781,29,210,167,13829
111,Los Angeles - Crestview,34.049756,-118.378614,1038,9131,9469,46,405,369,11368
112,Los Angeles - Del Rey,33.989676,-118.424085,2043,6825,6995,32,107,87,29936
113,Los Angeles - Downtown,34.044782,-118.258191,4133,15025,16203,52,189,157,27507
114,Los Angeles - Eagle Rock,34.134715,-118.205257,3700,9346,9166,113,285,207,39589
115,Los Angeles - East Hollywood,34.092362,-118.292118,3291,11237,10818,113,386,347,29287
116,Los Angeles - Echo Park,34.082126,-118.255039,1346,9442,9511,21,147,141,14256
117,Los Angeles - El Sereno,34.081304,-118.177511,6252,14954,14755,111,265,257,41808
118,Los Angeles - Elysian Park,34.078172,-118.240281,517,9051,8716,4,70,58,5712
119,Los Angeles - Elysian Valley,34.094131,-118.241507,1316,12939,12756,26,256,223,10171
120,Los Angeles - Encino,34.157137,-118.50121,3480,7704,8180,63,139,73,45172
121,Los Angeles - Exposition,34.026819,-118.349963,366,11004,10602,7,210,224,3326
122,Los Angeles - Exposition Park,34.018567,-118.298121,6264,13946,14135,86,191,253,44917
123,Los Angeles - Faircrest Heights,34.038906,-118.370833,274,7611,7438,3,83,66,3600
124,Los Angeles - Figueroa Park Square,33.932438,-118.287062,1363,15629,15692,25,287,294,8721
125,Los Angeles - Florence-Firestone,33.97487,-118.26715,9336,19678,19947,122,257,384,47445
126,Los Angeles - Glassell Park,34.118324,-118.231842,3451,10920,10867,52,165,138,31604
127,Los Angeles - Gramercy Place,33.950741,-118.310231,1352,12560,13166,23,214,162,10764
128,Los Angeles - Granada Hills,34.290387,-118.503629,6632,11397,11363,186,320,233,58191
129,Los Angeles - Green Meadows,33.950768,-118.263271,3993,18568,18660,55,256,348,21505
130,Los Angeles - Hancock Park,34.06933,-118.328634,1059,6215,6640,7,41,41,17039
131,Los Angeles - Harbor City,33.781806,-118.294561,2570,8841,8871,34,117,102,29070
132,Los Angeles - Harbor Gateway,33.861729,-118.294368,4995,11456,11287,70,161,174,43600
133,Los Angeles - Harbor Pines,33.782678,-118.304552,173,7181,7151,1,42,25,2409
134,Los Angeles - Harvard Heights,34.043619,-118.304639,2606,14450,14325,72,399,475,18035
135,Los Angeles - Harvard Park,33.98197,-118.297633,7277,19183,19053,99,261,296,37935
136,Los Angeles - Highland Park,34.112176,-118.186688,5815,12017,11817,106,219,235,48391
137,Los Angeles - Historic Filipinotown,34.070174,-118.271139,2078,14982,14397,78,562,550,13870
138,Los Angeles - Hollywood,34.101547,-118.337152,5638,8260,7863,69,101,103,68254
139,Los Angeles - Hollywood Hills,34.120522,-118.346451,1594,5416,6238,28,95,84,29434
140,Los Angeles - Hyde Park,33.983395,-118.327968,3770,13209,13213,78,273,251,28541
141,Los Angeles - Jefferson Park,34.024095,-118.322475,1174,14542,14375,14,173,169,8073
142,Los Angeles - Koreatown,34.054536,-118.304279,5611,10854,10643,124,240,244,51693
143,Los Angeles - Lafayette Square,34.043442,-118.334834,540,11845,11616,10,219,238,4559
144,Los Angeles - Lake Balboa,34.198325,-118.498247,5468,12956,12829,63,149,161,42206
145,Los Angeles - Lakeview Terrace,34.274612,-118.37751,2332,17757,17610,41,312,352,13133
146,Los Angeles - Leimert Park,34.005642,-118.324802,1614,10594,10660,22,144,103,15235
147,Los Angeles - Lincoln Heights,34.081004,-118.20552,5131,15741,15485,162,497,436,32597
148,Los Angeles - Little Armenia,34.094497,-118.304996,1174,14629,13508,83,1034,867,8025
149,Los Angeles - Little Bangladesh,34.06545,-118.300379,2814,9928,10057,29,102,117,28343
150,Los Angeles - Little Tokyo,34.046868,-118.241688,405,12927,15230,11,351,247,3133
151,Los Angeles - Longwood,34.036019,-118.343513,590,13708,13532,9,209,214,4304
152,Los Angeles - Los Feliz,34.131631,-118.299536,1069,4947,5411,22,102,75,21608
153,Los Angeles - Manchester Square,33.967363,-118.3115,972,11387,11876,11,129,101,8536
154,Los Angeles - Mandeville Canyon,34.091782,-118.509091,162,5186,5899,1,32,14,3124
155,Los Angeles - Mar Vista,34.013373,-118.437052,2089,4919,5132,37,87,69,42471
156,Los Angeles - Marina Peninsula,33.972542,-118.46061,150,3440,4462,2,46,23,4360
157,Los Angeles - Melrose,34.082861,-118.334547,8292,10672,10569,212,273,271,77696
158,Los Angeles - Mid-city,34.049434,-118.353784,1226,8157,8167,45,299,272,15030
159,Los Angeles - Miracle Mile,34.05939,-118.353441,1010,5616,5482,16,89,80,17985
160,Los Angeles - Mission Hills,34.266501,-118.457461,4361,18077,17675,123,510,383,24124
161,Los Angeles - Mt. Washington,34.099551,-118.216776,2871,11891,11743,63,261,232,24145
162,Los Angeles - North Hills,34.238631,-118.478069,9424,15305,15058,141,229,260,61575
163,Los Angeles - North Hollywood,34.190367,-118.390865,21010,13875,13459,351,232,260,151421
164,Los Angeles - Northridge,34.237496,-118.528881,7669,10988,10935,179,256,215,69797
165,Los Angeles - Pacific Palisades,34.044873,-118.530791,858,4030,4809,14,66,33,21291
166,Los Angeles - Pacoima,34.265442,-118.416467,17355,22545,22449,229,297,404,76979
167,Los Angeles - Palisades Highlands,34.089709,-118.549834,149,3874,4666,1,26,18,3846
168,Los Angeles - Palms,34.023719,-118.412505,2634,6003,6596,61,139,179,43877
169,Los Angeles - Panorama City,34.224448,-118.445118,13601,18074,17970,272,361,467,75250
170,Los Angeles - Park La Brea,34.069657,-118.355482,645,4750,4103,1,7,8,13580
171,Los Angeles - Pico-Union,34.045977,-118.280283,7166,17126,16981,234,559,665,41842
172,Los Angeles - Playa Del Rey,33.960959,-118.448447,115,3598,4329,1,31,17,3196
173,Los Angeles - Playa Vista,33.979177,-118.414829,614,5609,5716,9,82,88,10947
174,Los Angeles - Porter Ranch,34.279442,-118.557334,2492,7002,7388,37,104,67,35588
175,Los Angeles - Rancho Park,34.037135,-118.429312,378,5762,6530,2,30,24,6560
176,Los Angeles - Regent Square,34.032868,-118.383135,260,9353,9173,3,108,97,2780
177,Los Angeles - Reseda,34.198583,-118.538493,11609,15152,14906,292,381,350,76617
178,Los Angeles - Reseda Ranch,34.215335,-118.552912,707,15250,15221,3,65,72,4636
179,Los Angeles - Reynier Village,34.036199,-118.387224,273,6457,6554,2,47,34,4228
180,Los Angeles - San Pedro,33.735148,-118.295414,7326,9388,9470,116,149,130,78038
181,Los Angeles - Shadow Hills,34.254228,-118.360596,400,9005,9443,5,113,76,4442
182,Los Angeles - Sherman Oaks,34.151808,-118.438938,5943,6811,7311,110,126,110,87254
183,Los Angeles - Silverlake,34.095745,-118.270619,3228,7323,7656,123,279,242,44083
184,Los Angeles - South Carthay,34.057071,-118.375161,737,6956,8011,6,57,42,10595
185,Los Angeles - South Park,33.999632,-118.273942,7393,19475,19928,108,285,485,37961
186,Los Angeles - St Elmo Village,34.042923,-118.342309,705,15380,15895,42,916,1352,4584
187,Los Angeles - Studio City,34.137095,-118.388941,1417,6315,6822,48,214,170,22440
188,Los Angeles - Sun Valley,34.214573,-118.370525,9555,18206,17876,149,284,288,52483
