City of Agoura Hills	876	4195	13	62
City of Alhambra	6227	7180	143	165
City of Arcadia	2392	4142	90	156
City of Artesia	1843	10974	42	250
City of Avalon	13	336	0	0
City of Azusa	5757	11505	84	168
City of Baldwin Park	12106	15769	218	284
City of Bell	6212	17098	83	228
City of Bell Gardens	7661	17787	73	169
City of Bellflower	9808	12617	125	161
City of Beverly Hills	2248	6512	23	67
City of Bradbury	33	3087	0	0
City of Burbank	7571	7064	176	164
City of Calabasas	1034	4251	21	86
City of Carson	8275	8818	159	169
City of Cerritos	2660	5313	29	58
City of Claremont	2040	5591	39	107
City of Commerce*	2259	17285	29	222
City of Compton	15355	15370	159	159
City of Covina	5883	11998	110	224
City of Cudahy	4401	18076	41	168
City of Culver City	1908	4786	69	173
City of Diamond Bar	2872	4993	38	66
City of Downey	16101	14091	199	174
City of Duarte	2104	9557	62	282
City of El Monte	15888	13548	322	275
City of El Segundo	578	3443	4	24
City of Gardena	5540	9036	122	199
City of Glendale	16831	8151	431	209
City of Glendora	4278	8108	133	252
City of Hawaiian Gardens	2052	13982	4	27
City of Hawthorne	9249	10417	134	151
City of Hermosa Beach	830	4220	8	41
City of Hidden Hills	72	3810	1	53
City of Huntington Park	10419	17516	121	203
City of Industry	144	32952	3	686
City of Inglewood	12146	10694	226	199
City of Irwindale	235	16107	3	206
City of La Canada Flintridge	668	3228	12	58
City of La Habra Heights	92	1687	1	18
City of La Mirada	3794	7649	73	147
City of La Puente	6167	15153	73	179
City of La Verne	2526	7590	38	114
City of Lakewood	6445	8020	45	56
City of Lancaster*	19643	12158	184	114
City of Lawndale	3085	9178	33	98
City of Lomita	1207	5823	16	77
City of Long Beach	48096	9937	666	137
City of Lynwood*	12235	16982	177	246
City of Malibu	309	2384	6	46
City of Manhattan Beach	1096	3045	11	31
City of Maywood	4829	17216	65	232
City of Monrovia	2871	7399	54	139
City of Montebello	9372	14558	131	203
City of Monterey Park	4338	6967	131	210
City of Norwalk	14674	13635	218	203
City of Palmdale	22295	14025	227	143
City of Palos Verdes Estates	334	2470	4	30
City of Paramount	9182	16390	93	166
City of Pasadena	10212	5853	253	145
City of Pico Rivera	10217	15894	184	286
City of Pomona	22616	14504	314	201
City of Rancho Palos Verdes	1121	2622	36	84
City of Redondo Beach	2326	3386	22	32
City of Rolling Hills	40	2062	0	0
City of Rolling Hills Estates	216	2662	6	74
City of Rosemead	4388	7928	92	166
City of San Dimas*	2816	8159	62	180
City of San Fernando	4751	19304	47	191
City of San Gabriel	2856	6974	157	383
City of San Marino	342	2576	11	83
City of Santa Clarita	17541	7958	176	80
City of Santa Fe Springs	2581	14055	29	158
City of Santa Monica	3938	4260	118	128
City of Sierra Madre	418	3804	9	82
City of Signal Hill	1022	8663	7	59
City of South El Monte	3175	15202	43	206
City of South Gate	17239	17563	156	159
City of South Pasadena	1186	4552	35	134
City of Temple City	2139	5868	84	230
City of Torrance	6109	4093	144	96
City of Vernon	121	57895	1	478
City of Walnut	1570	5142	24	79
City of West Covina	11676	10788	149	138
City of West Hollywood	1944	5261	24	65
City of Westlake Village	90	1077	0	0
City of Whittier	10106	11559	172	197
Los Angeles	454170	11229	6945	172
Los Angeles - Adams-Normandie	1084	13216	14	171
Los Angeles - Alsace	1451	11659	14	112
Los Angeles - Angeles National Forest	5	12500	0	0
Los Angeles - Angelino Heights	250	9992	3	120
Los Angeles - Arleta	6463	18804	79	230
Los Angeles - Atwater Village	1287	8775	16	109
Los Angeles - Baldwin Hills	2436	7827	45	145
