County,Latitude,Longitude,Population,Cumulative Cases,Cumulative Case Rate,14-day Case Rate,Daily New Cases,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21
Glenn,39.59875897,-122.3938452,"28,393","1,546","5,445.00",915.72,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,9,9,9,9,9,12,12,12,12,12,12,12,12,13,14,14,16,16,16,17,17,17,17,18,18,19,19,23,23,24,24,24,32,34,34,42,42,42,42,42,66,74,87,87,87,87,103,103,115,122,122,122,122,122,146,153,159,164,164,164,176,183,190,200,214,214,214,219,237,251,251,265,265,265,265,303,311,315,325,325,325,332,332,346,352,360,360,360,360,436,436,436,436,436,407,413,421,423,423,424,425,425,425,433,433,434,435,440,440,453,453,463,467,470,475,474,475,488,497,497,519,522,522,522,529,539,547,548,550,550,550,563,568,571,574,578,578,578,593,596,597,598,603,603,603,609,618,621,623,626,626,626,630,635,635,638,639,639,639,642,647,649,652,657,657,657,671,678,679,682,685,685,688,702,707,710,714,716,716,716,729,733,733,762,770,772,783,786,795,805,820,829,829,832,853,883,891,892,891,925,951,954,989,996,1002,1018,1056,1067,1089,1101,1117,1134,1136,1143,1171,1186,1207,1236,1254,1273,1286,1295,1323,1337,1349,1363,1390,1413,1434,1435,1454,1458,1484,1520,1546
Humboldt,40.69923009,-123.876044,"135,558","1,815","1,338.91",315.73,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,10,12,14,18,18,21,27,28,37,44,44,44,49,50,50,50,50,50,50,50,51,52,52,52,52,52,52,52,52,53,53,53,53,53,54,54,54,54,54,54,54,55,55,55,55,57,61,64,64,68,68,72,77,77,86,88,88,88,93,93,93,94,98,98,98,99,101,101,102,103,104,104,104,104,105,105,105,105,105,106,106,106,107,107,108,108,110,110,112,113,122,127,129,129,129,133,133,133,138,144,144,144,144,154,157,161,165,165,165,165,167,175,178,181,181,181,189,195,200,203,203,205,205,205,217,228,231,233,233,233,233,245,245,280,280,282,282,286,286,293,299,309,309,309,309,320,333,342,345,345,345,359,360,361,364,368,368,368,388,393,397,403,409,409,409,409,434,434,442,447,447,447,473,479,481,482,482,482,482,485,489,490,496,501,501,501,508,509,512,515,518,518,518,522,524,527,528,529,529,529,529,534,542,544,544,544,544,554,558,560,561,561,562,562,567,568,568,569,571,571,571,579,586,592,599,605,605,605,621,624,624,653,658,658,658,687,695,699,711,730,730,730,784,801,819,819,850,850,850,898,919,949,993,1014,1014,1014,1102,1137,1163,1195,1231,1231,1231,1295,1321,1357,1374,1387,1387,1387,1500,1512,1539,1539,1539,1584,1584,1647,1678,1731,1764,1764,1783,1815
Imperial,33.0393082,-115.3669042,"181,215","22,867","12,618.71","1,189.75",152,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,4,6,6,6,9,9,17,21,25,25,33,38,43,52,55,57,65,68,73,75,79,79,87,87,100,117,127,143,155,155,160,175,195,232,251,251,251,281,284,319,319,333,358,358,368,400,419,455,512,512,512,564,603,647,712,786,786,786,876,902,985,1076,1076,1145,1145,1274,1352,1352,1443,1634,1634,1634,1751,1798,2025,2493,2568,2568,2568,3013,3133,3386,3405,3724,4157,4157,4298,4389,4478,4659,4744,4800,4800,4800,5270,5549,5744,5838,6041,6041,6187,6242,6523,6824,6979,7039,7039,7190,7343,7464,7654,7759,7827,7827,7977,8119,8145,8310,8397,8531,8531,8606,8606,8799,8919,8967,9067,9067,9162,9189,9241,9298,9366,9409,9409,9448,9513,9513,9601,9601,9693,9693,9693,9867,9919,9957,10035,10058,10058,10145,10268,10304,10325,10366,10393,10393,10396,10486,10509,10573,10641,10667,10667,10719,10719,10746,10773,11001,11041,11041,11041,11056,11093,11183,11218,11274,11274,11291,11392,11435,11457,11534,11558,11558,11583,11606,11658,11741,11781,11835,11835,11852,11877,11908,11993,12002,12047,12047,12076,12109,12120,12145,12145,12145,12145,12220,12290,12334,12373,12410,12410,12410,12475,12534,12610,12668,12700,12700,12700,12882,12967,12983,13023,13038,13038,13038,13198,13260,13284,13330,13398,13398,13398,13490,13697,13697,13789,13846,13846,13932,14135,14301,14431,14644,14720,14864,15053,15257,15568,15725,15725,15862,15960,16019,16272,16364,16429,16507,16555,16555,16555,17084,17400,17733,17913,18333,18599,18947,19472,19608,19756,20003,20208,20430,20711,20882,20994,21128,21323,21545,21646,21734,21934,22003,22128,22267,22494,22715,22867
Inyo,36.51112084,-117.41119779999998,"18,039",635,"3,520.15",803.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,8,8,8,9,9,10,10,11,11,11,11,11,12,12,12,12,12,17,17,17,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,23,23,24,24,24,24,24,24,24,25,27,27,27,29,27,30,31,31,32,32,33,33,33,33,34,34,34,34,34,35,35,37,37,38,37,37,37,40,40,41,41,44,44,40,40,46,47,50,50,51,51,61,64,66,84,86,64,89,106,106,113,115,127,127,127,127,148,149,149,158,164,164,164,167,168,172,172,174,174,179,179,181,182,182,183,183,183,183,183,183,185,186,186,186,186,187,187,187,187,187,187,187,187,187,187,187,187,188,188,188,189,191,191,194,195,197,199,199,201,202,202,202,205,209,209,210,212,212,215,218,218,220,227,227,227,227,231,234,240,241,241,241,241,243,247,247,247,250,252,252,256,256,256,258,262,263,263,263,265,265,268,274,283,279,280,283,290,290,290,290,290,304,308,314,321,328,332,333,350,353,357,376,388,388,388,433,445,452,468,490,490,490,514,531,547,547,575,575,575,611,618,619,635,635,635
Kern,35.34329425,-118.7277796,"900,202","70,358","7,815.80","1,461.12",874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,12,13,15,29,33,47,51,60,83,110,142,173,210,230,239,252,271,303,337,371,396,436,462,533,565,578,610,623,643,671,683,699,735,755,809,828,847,866,893,939,969,1005,1016,1045,1073,1133,1166,1228,1254,1286,1316,1343,1393,1428,1473,1515,1537,1571,1605,1644,1695,1757,1824,1871,1876,1941,2007,2076,2145,2250,2322,2376,2418,2462,2534,2650,2720,2794,2870,2942,3016,3130,3195,3281,3367,3452,3512,3590,3706,3793,3890,3965,4049,4108,4182,4300,4340,4478,4548,4655,4768,4939,5100,5130,5245,5369,5543,5759,5979,6195,6339,6502,6601,6759,6921,7074,7233,7728,8447,9234,10068,11188,12323,13360,14192,14651,15003,16896,17344,18411,19335,19882,20545,20651,21228,21433,21724,22009,22626,23583,24440,24995,25179,25499,25888,26266,26570,26788,26968,27184,27184,27378,27658,27915,28140,28234,28520,28612,28854,28961,29105,29324,29324,29459,29602,29763,29858,30040,30080,30179,30202,30371,30440,30563,30622,30735,30850,30916,31076,31148,31261,31379,31509,31572,31647,31712,31785,31865,31947,31994,32019,32073,32128,32184,32343,32443,32491,32522,32609,32674,32741,32831,32878,32966,33020,33089,33145,33225,33286,33373,33448,33497,33551,33630,33669,33775,33813,33881,33928,34027,34114,34154,34308,34378,34457,34563,34676,34779,34973,35063,35063,35394,35467,35610,35818,36069,36227,36470,36618,36919,37141,37323,37632,37982,38316,38519,39437,39721,39990,40337,40632,41328,41827,41957,42614,42937,43355,43860,44327,45078,45342,46397,47411,48401,49232,49939,50624,51612,53694,54681,55801,56687,57205,58200,59148,60260,61324,62439,63044,63557,64810,66526,67292,68316,68969,69484,70358
Kings,36.07409056,-119.8159973,"152,940","16,515","10,798.35","1,319.47",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,5,5,5,5,5,5,8,8,9,10,10,12,13,13,18,20,28,30,32,32,35,47,47,52,67,71,79,96,123,146,158,172,198,233,233,244,265,275,319,319,325,348,358,372,399,399,416,416,457,488,506,517,647,688,698,704,714,735,746,1122,1137,1168,1187,1452,1483,1492,1538,1576,1637,1688,1724,1759,1759,1831,1831,1870,1976,2057,2057,2091,2158,2158,2234,2284,2298,2318,2318,2394,2394,2504,2583,2583,2600,2634,2673,2755,2823,2855,2855,2898,2918,2970,3078,3108,3172,3209,3209,3247,3398,3398,3465,3696,3696,3772,3813,3842,3966,4036,4106,4146,4380,4380,4453,4453,4453,4453,4453,4453,4453,4453,4453,5067,5127,5243,5310,5409,5514,5543,5631,5631,5659,5703,5892,5921,5957,5977,6021,6090,6103,6142,6340,6340,6392,6392,6422,6688,6737,6788,6847,6878,6894,6918,7039,7057,7097,7125,7144,7158,7158,7268,7283,7430,7534,7544,7569,7631,7631,7569,7651,7661,7681,7685,7688,7716,7887,7919,7932,7943,7948,7968,7993,8078,8094,8106,8111,8118,8134,8146,8151,8159,8173,8173,8186,8201,8218,8228,8246,8264,8411,8486,8502,8564,8612,8641,8654,8783,8817,8846,8883,9005,9026,9141,9236,9263,9335,9428,9490,9533,9601,9653,9708,9775,9922,10038,10115,10259,10359,10440,10475,10687,11093,11270,11366,11434,11555,11682,11767,11911,12056,12412,12624,12716,12993,13118,13205,13357,13491,13653,13758,14073,14289,14497,14654,14786,14883,14951,15242,15491,15548,15624,15767,15809,15915,16114,16394,16515
Lake,39.10124298,-122.7536244,"64,386","1,925","2,989.78",756.38,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,10,11,12,12,12,12,12,12,14,19,23,23,21,21,21,26,30,30,30,30,30,30,30,30,31,32,32,32,34,34,34,34,34,35,35,40,41,41,42,42,45,51,56,60,79,85,85,87,87,96,98,100,101,108,108,108,121,122,133,137,140,140,140,151,156,158,166,168,168,168,175,180,181,183,195,195,195,208,211,211,212,220,220,220,240,240,253,267,268,268,268,272,275,281,281,282,290,291,299,303,304,314,315,324,332,345,345,346,350,350,360,359,362,368,370,372,378,390,393,397,416,418,433,433,459,465,492,512,516,530,534,539,549,555,559,566,567,572,581,588,589,593,596,599,604,628,630,631,633,639,642,642,658,663,670,673,678,678,679,689,696,695,698,700,702,704,720,727,727,731,734,739,740,746,751,754,756,763,763,764,776,776,777,788,802,807,815,823,832,834,845,877,886,890,909,920,927,951,971,972,995,1022,1069,1075,1092,1131,1161,1171,1215,1232,1271,1306,1341,1364,1375,1399,1438,1463,1538,1583,1602,1629,1688,1710,1769,1791,1805,1819,1848,1888,1925
Lassen,40.67311306,-120.59350990000002,"30,573","4,691","15,343.60","2,714.81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,5,5,5,5,5,5,5,5,6,6,6,8,8,9,9,9,9,9,9,9,9,9,9,9,11,11,15,15,89,172,220,220,229,229,233,234,234,242,242,242,267,267,269,261,275,337,428,441,444,473,488,491,508,512,515,515,538,555,555,555,555,558,558,631,631,631,631,626,632,632,633,638,638,638,683,683,683,694,695,695,703,703,703,703,703,703,704,704,704,704,714,715,716,716,716,716,716,716,716,716,720,720,720,720,725,727,747,727,727,727,727,729,730,731,731,731,735,735,736,736,737,740,740,740,741,741,742,742,742,743,743,744,748,751,751,751,752,752,752,752,752,752,757,757,757,757,761,764,764,766,766,766,766,766,771,772,777,782,782,782,782,781,782,794,799,799,799,841,906,906,1061,1135,1135,1135,1177,1214,1242,1355,1480,1480,1715,1715,1773,1773,1773,1773,1793,2160,2182,2220,2352,2422,2422,2422,2812,2856,2930,2972,3127,3127,3127,3478,3590,3685,3732,3861,3861,3861,4116,4156,4180,4180,4180,4180,4230,4573,4615,4615,4691,4691,4691
Los Angeles,34.30828379,-118.2282411,"10,039,107","818,639","8,154.50","1,942.10","12,429",1,1,1,7,11,13,14,14,14,20,27,32,40,53,53,94,144,190,231,292,292,407,536,662,812,1229,1465,1465,1829,2474,3019,3518,4045,4566,4605,5955,6377,6936,7559,7955,8443,8453,8894,9433,10047,10517,10854,11400,12021,12341,13823,15153,16447,17537,18545,19133,19567,20423,20996,22485,23220,24262,24894,25699,26225,27836,28665,29511,30319,31241,31703,32263,33211,34538,35392,36316,37360,38011,38458,39573,40895,42037,43070,44121,45017,46023,47845,48761,49860,51678,53746,55001,56011,57219,58261,59692,61068,62382,63844,64690,65945,67111,68959,70529,72057,73018,73832,75162,77260,78348,79655,81709,83414,86017,88512,89633,91577,93391,95385,97918,100958,103850,105665,107792,107806,107826,115024,116570,120764,123256,124992,127439,130394,133549,136357,140576,143207,147678,150424,153152,155917,159045,162025,165134,166868,168935,172325,174017,176028,178642,183456,186036,188541,190857,192177,193877,195805,198165,201200,204258,206778,208563,210543,210874,214283,214425,218831,220867,221971,223230,224105,225827,227346,229054,230662,231695,232893,233777,235386,236986,238458,239756,240749,241768,242521,243935,244999,246407,247542,248334,248821,249241,249859,251024,252066,253176,253985,254656,255049,256148,257271,258516,259817,260797,261446,262133,263333,264414,265775,266988,267801,268455,269284,270299,271371,272653,273638,274565,274942,275856,277445,278665,279909,281165,282135,282982,283750,285016,286183,287222,288136,288451,289366,290009,290486,294065,296821,298937,299760,300614,302077,303369,305070,306327,307618,309190,310595,311745,313526,315564,317656,319977,319977,323625,325876,327964,330450,332865,336549,339560,342343,344523,348336,353232,357451,361869,364520,370636,374134,378323,383275,387793,390891,395843,400919,408396,414185,421881,430583,439408,449851,457880,466321,475271,487917,501635,512872,525486,532730,543769,566005,580325,596721,610372,623670,634849,647542,663954,677299,678040,706448,719833,733325,746089,756116,770602,790582,806210,818639
Madera,37.21513971,-119.76655890000002,"157,327","11,039","7,016.60","1,475.91",287,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,6,6,7,10,11,15,18,21,23,25,28,28,28,28,28,28,28,30,32,32,33,33,33,33,33,33,34,34,36,36,39,39,39,40,41,44,46,46,46,46,51,51,54,55,55,62,66,67,67,69,69,69,69,70,71,71,81,82,82,83,82,84,84,85,90,94,98,104,106,106,114,117,129,141,155,163,172,172,178,188,188,198,198,226,250,275,295,314,314,314,334,359,370,383,415,415,415,488,488,541,566,566,578,578,578,713,857,857,857,893,893,893,1003,1054,1054,1179,1179,1179,1179,1451,1530,1530,1630,1630,1630,1630,1723,1850,1886,1943,1943,1943,1943,2114,2114,2208,2267,2302,2302,2463,2463,2590,2759,2924,2924,2924,2924,3129,3236,3278,3339,3339,3339,3484,3509,3551,3567,3674,3674,3674,3783,3836,3876,3889,3953,3953,3953,3953,4025,4064,4079,4150,4150,4150,4226,4230,4267,4270,4296,4296,4296,4391,4424,4424,4458,4481,4481,4481,4539,4557,4583,4614,4642,4642,4642,4706,4718,4720,4739,4748,4748,4748,4786,4796,4808,4822,4836,4836,4836,4886,4920,4928,4945,4981,4981,4981,5020,5037,5057,5066,5094,5094,5094,5141,5158,5182,5219,5249,5249,5249,5306,5330,5330,5361,5426,5426,5426,5514,5561,5602,5624,5714,5714,5714,5885,5938,6047,6047,6047,6050,6119,6290,6346,6427,6482,6537,6537,6619,6940,7115,7251,7468,7612,7648,7765,8019,8120,8269,8441,8574,8609,8717,8995,9150,9305,9371,9547,9770,9908,10015,10172,10273,10491,10609,10752,11039
Marin,38.07122463,-122.7210631,"258,826","10,012","3,868.24",428.86,112,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,9,11,15,15,38,38,38,38,47,53,60,65,68,74,93,99,107,108,118,131,137,141,143,148,149,154,154,153,164,170,171,184,187,187,189,195,199,200,209,212,212,223,224,224,226,235,237,239,240,240,241,247,247,255,257,259,265,271,271,279,279,299,317,317,336,343,343,352,369,388,403,417,420,436,436,450,483,483,501,506,525,530,551,571,589,635,635,651,664,697,730,751,772,842,861,917,1030,1110,1250,1349,1470,1573,1636,1746,1936,2210,2210,2394,2446,2710,2719,2719,2809,2989,3232,3227,3364,3434,3434,3702,3888,3947,4078,4157,4164,4314,4376,4427,4490,4522,4611,4624,4624,4637,4769,4817,4934,4987,4994,4994,5092,5180,5180,5199,5257,5287,5327,5404,5404,5471,5583,5674,5710,5750,5774,5788,5832,5832,5852,5879,5879,5930,5942,5965,5999,6054,6068,6068,6164,6164,6295,6321,6285,6297,6310,6339,6339,6368,6378,6407,6429,6450,6464,6470,6477,6505,6522,6557,6557,6591,6613,6620,6641,6672,6694,6716,6730,6727,6734,6742,6751,6764,6773,6781,6796,6821,6828,6854,6871,6877,6902,6920,6934,6940,6966,6982,7001,7019,7030,7036,7038,7045,7057,7074,7089,7096,7099,7107,7121,7131,7133,7157,7167,7181,7197,7205,7232,7232,7254,7270,7284,7284,7326,7344,7358,7378,7409,7448,7467,7489,7506,7518,7560,7596,7621,7628,7628,7704,7755,7777,7808,7840,7873,7891,7962,8016,8064,8102,8192,8249,8312,8361,8410,8491,8539,8615,8751,8804,8851,8902,9021,9133,9205,9305,9305,9449,9505,9569,9616,9661,9728,9798,9900,10012
Mariposa,37.57978556,-119.9073334,"17,203",267,"1,552.05",412.72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,13,13,13,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,18,18,18,18,18,18,21,21,22,23,23,23,25,26,27,27,27,27,27,31,31,31,31,31,31,31,32,34,34,35,35,35,37,38,41,41,44,44,46,46,46,48,51,53,53,54,56,57,59,59,60,60,60,61,62,62,63,63,63,64,64,64,64,69,69,69,69,69,69,70,70,71,71,71,71,71,71,73,73,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,79,80,81,81,81,81,81,81,81,81,81,89,89,88,88,88,89,89,91,91,91,92,93,93,94,101,104,112,120,124,126,128,130,131,139,143,144,148,149,155,159,162,165,167,171,171,174,178,180,181,183,185,188,188,196,205,205,208,212,212,219,220,223,226,234,252,255,265,267
Mendocino,39.4381191,-123.3911313,"86,749","2,611","3,009.83",521.04,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,14,14,14,15,15,21,21,21,21,22,23,25,30,30,30,30,30,30,33,33,33,33,36,36,36,36,38,38,38,38,47,47,54,54,54,54,62,62,72,74,76,76,76,76,78,85,85,85,85,85,85,92,98,107,107,113,113,132,146,155,165,177,185,194,199,207,217,234,234,249,257,265,274,280,293,312,312,317,322,341,341,363,363,380,431,472,472,478,489,529,529,537,541,556,579,579,584,605,624,629,645,653,656,659,673,689,704,704,714,716,724,737,754,766,773,777,778,778,778,785,789,802,808,817,822,833,849,851,875,887,894,899,908,931,934,939,954,964,971,988,988,1005,1010,1021,1025,1030,1035,1042,1045,1050,1055,1063,1077,1080,1089,1103,1104,1111,1118,1121,1124,1127,1129,1136,1142,1154,1156,1165,1165,1176,1179,1188,1193,1213,1216,1216,1231,1238,1242,1242,1269,1269,1288,1307,1311,1311,1338,1368,1385,1385,1424,1441,1468,1485,1485,1485,1458,1580,1594,1632,1657,1671,1697,1697,1759,1759,1816,1873,1911,1931,1931,1991,2019,2051,2108,2134,2159,2159,2230,2256,2292,2314,2314,2314,2382,2406,2425,2441,2487,2487,2558,2611
Merced,37.18922369,-120.7209035,"277,680","19,444","7,002.30","1,157.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,7,8,9,10,10,12,16,16,27,29,29,34,40,52,59,65,65,74,76,79,82,86,90,90,92,93,100,102,102,103,108,116,118,125,134,140,140,143,147,152,155,157,163,163,173,177,180,189,189,200,200,216,222,226,234,251,251,251,261,268,273,280,280,283,283,283,301,310,310,320,334,334,334,367,387,391,391,409,409,409,470,470,538,564,564,616,661,710,741,791,824,824,824,824,979,1131,1208,1272,1272,1272,1272,1623,1623,1793,1793,1884,1884,1884,2183,2260,2313,2403,2403,2403,2694,2813,2994,3123,3245,3245,3245,3245,3510,3906,4065,4065,4285,4285,4285,4583,4583,4855,4855,5012,5012,5736,5736,6102,6224,6777,6777,6777,6777,7041,7229,7229,7334,7428,7493,7574,7653,7693,7744,7814,7890,7890,8032,8032,8081,8122,8202,8277,8297,8327,8381,8415,8440,8487,8541,8541,8575,8616,8645,8692,8719,8750,8750,8750,8820,8803,8828,8846,8872,8872,8872,8939,8961,8993,9019,9033,9033,9033,9081,9090,9111,9130,9149,9149,9149,9149,9265,9286,9302,9314,9314,9314,9375,9386,9415,9439,9465,9465,9465,9531,9572,9588,9623,9674,9674,9674,9779,9819,9880,9916,9982,9982,9982,10140,10193,10193,10193,10313,10374,10374,10552,10662,10749,10884,10986,10986,10986,11388,11460,11537,11537,11550,11688,11773,12175,12281,12427,12622,12891,12891,12928,13637,13851,14058,14310,14483,14483,14483,14572,15120,15443,15648,16026,16230,16435,16760,17111,17785,17785,17785,17890,18075,18843,19066,19245,19444,19444,19444
Modoc,41.58965602,-120.7244817,"8,841",326,"3,687.37",622.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,9,10,12,12,13,15,16,21,19,21,21,21,22,22,22,22,22,22,23,23,23,23,24,24,25,25,25,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,28,29,29,29,29,36,43,45,48,50,51,51,52,58,64,68,73,73,75,79,80,86,91,92,93,93,98,100,104,106,111,111,114,118,119,122,125,131,131,143,151,156,162,163,174,181,186,197,200,212,225,232,240,243,249,260,265,267,271,271,273,287,292,293,293,293,307,307,313,315,320,323,326,326
