City of Agoura Hills	2443	11699	20	96
City of Alhambra	12441	14346	224	258
City of Arcadia	5747	9951	150	260
City of Artesia	3158	18803	81	482
City of Avalon	46	1189	0	0
City of Azusa	10361	20705	141	282
City of Baldwin Park	18328	23874	352	459
City of Bell	10056	27678	129	355
City of Bell Gardens	10860	25214	124	288
City of Bellflower	17756	22842	222	286
City of Beverly Hills	6362	18430	36	104
City of Bradbury	49	4584	0	0
City of Burbank	17148	15999	272	254
City of Calabasas	2988	12285	35	144
City of Carson	19074	20325	276	294
City of Cerritos	6131	12246	64	128
City of Claremont	4456	12214	66	181
City of Commerce*	3433	26268	42	321
City of Compton	25397	25421	293	293
City of Covina	11341	23130	186	379
City of Cudahy	7362	30238	68	279
City of Culver City	5377	13488	119	299
City of Diamond Bar	6522	11340	94	163
City of Downey	27673	24219	335	293
City of Duarte	3942	17905	108	491
City of El Monte	24670	21037	474	404
City of El Segundo	2153	12826	12	71
City of Gardena	11973	19529	231	377
City of Glendale	35149	17022	736	356
City of Glendora	9020	17095	213	404
City of Hawaiian Gardens	3276	22322	27	184
City of Hawthorne	17771	20015	252	284
City of Hermosa Beach	2660	13523	11	56
City of Hidden Hills	214	11323	2	106
City of Huntington Park	16443	27643	192	323
City of Industry	251	57437	5	1144
City of Inglewood	23455	20650	362	319
City of Irwindale	422	28924	7	480
City of La Canada Flintridge	2123	10260	17	82
City of La Habra Heights	143	2621	2	37
City of La Mirada	7791	15708	145	292
City of La Puente	9683	23793	137	337
City of La Verne	5526	16604	67	201
City of Lakewood	14029	17457	138	172
City of Lancaster*	38050	23550	370	229
City of Lawndale	6258	18617	60	178
City of Lomita	3185	15365	47	227
City of Long Beach	87797	18140	1084	223
City of Lynwood*	18862	26180	267	371
City of Malibu	1558	12021	13	100
City of Manhattan Beach	3882	10784	20	56
City of Maywood	7639	27234	99	353
City of Monrovia	6097	15714	88	227
City of Montebello	15205	23619	247	384
City of Monterey Park	8342	13398	210	337
City of Norwalk	24865	23104	429	399
City of Palmdale	39589	24904	386	243
City of Palos Verdes Estates	1180	8727	10	74
City of Paramount	14481	25848	180	321
City of Pasadena	20118	11532	377	216
City of Pico Rivera	16356	25443	297	462
City of Pomona	39453	25302	515	330
City of Rancho Palos Verdes	3751	8775	71	166
City of Redondo Beach	7596	11057	59	86
City of Rolling Hills	153	7887	3	155
City of Rolling Hills Estates	754	9294	8	99
City of Rosemead	7870	14219	169	305
City of San Dimas*	6049	17525	103	298
City of San Fernando	8087	32858	73	297
City of San Gabriel	5405	13198	221	540
City of San Marino	1022	7698	10	75
City of Santa Clarita	41530	18841	314	142
City of Santa Fe Springs	4776	26007	49	267
City of Santa Monica	12785	13830	198	214
City of Sierra Madre	1127	10256	14	127
City of Signal Hill	2183	18505	11	93
City of South El Monte	4950	23701	77	369
City of South Gate	28298	28830	271	276
City of South Pasadena	2941	11289	49	188
City of Temple City	4443	12188	130	357
City of Torrance	16598	11120	256	172
City of Vernon	197	94258	0	0
City of Walnut	3415	11185	42	138
City of West Covina	21999	20325	312	288
City of West Hollywood	6335	17144	48	130
City of Westlake Village	218	2608	1	12
City of Whittier	17950	20530	291	333
Los Angeles	881274	21789	10993	272
Los Angeles - Adams-Normandie	1897	23129	18	219
Los Angeles - Alsace	2667	21430	23	185
Los Angeles - Angeles National Forest	6	15000	0	0
Los Angeles - Angelino Heights	479	19145	6	240
Los Angeles - Arleta	10671	31047	128	372
Los Angeles - Atwater Village	2709	18471	29	198
Los Angeles - Baldwin Hills	5552	17838	82	263
Los Angeles - Bel Air	1129	13394	3	36
Los Angeles - Beverly Crest	1792	14307	7	56
Los Angeles - Beverlywood	2262	17171	4	30
Los Angeles - Boyle Heights*	24992	28765	332	382
Los Angeles - Brentwood	4236	13684	21	68
Los Angeles - Brookside	73	12565	2	344
Los Angeles - Cadillac-Corning	1374	19295	11	154
Los Angeles - Canoga Park	15357	23522	185	283
Los Angeles - Carthay	2276	15846	79	550
Los Angeles - Central	10993	28193	144	369
Los Angeles - Century City	1642	12836	16	125
Los Angeles - Century Palms/Cove	10152	30066	115	341
Los Angeles - Chatsworth	7084	19114	94	254
Los Angeles - Cheviot Hills	1192	12997	9	98
Los Angeles - Chinatown	1471	18339	16	199
Los Angeles - Cloverdale/Cochran	2952	20284	30	206
Los Angeles - Country Club Park	2633	17376	85	561
Los Angeles - Crenshaw District	2890	20898	37	268
Los Angeles - Crestview	2188	19247	47	413
Los Angeles - Del Rey	4577	15289	35	117
Los Angeles - Downtown*	8767	31872	60	218
Los Angeles - Eagle Rock	6727	16992	124	313
Los Angeles - East Hollywood	5451	18612	136	464
Los Angeles - Echo Park	2479	17389	24	168
Los Angeles - El Sereno	10073	24093	119	285
Los Angeles - Elysian Park	1029	18015	5	88
Los Angeles - Elysian Valley	2036	20018	28	275
Los Angeles - Encino	7745	17146	78	173
Los Angeles - Exposition	684	20565	7	210
Los Angeles - Exposition Park	10419	23196	94	209
Los Angeles - Faircrest Heights	662	18389	3	83
Los Angeles - Figueroa Park Square	2314	26534	32	367
Los Angeles - Florence-Firestone	14434	30423	140	295
Los Angeles - Glassell Park	5987	18944	64	203
Los Angeles - Gramercy Place	2551	23699	35	325
Los Angeles - Granada Hills	12207	20977	208	357
Los Angeles - Green Meadows	6288	29240	57	265
Los Angeles - Hancock Park	2539	14901	7	41
Los Angeles - Harbor City	5061	17410	39	134
Los Angeles - Harbor Gateway	8850	20298	89	204
Los Angeles - Harbor Pines	354	14695	2	83
Los Angeles - Harvard Heights	3845	21320	73	405
Los Angeles - Harvard Park	11250	29656	113	298
Los Angeles - Highland Park	9848	20351	116	240
Los Angeles - Historic Filipinotown	3215	23180	83	598
Los Angeles - Hollywood	12371	18125	86	126
Los Angeles - Hollywood Hills	4075	13845	27	92
Los Angeles - Hyde Park	6871	24074	95	333
Los Angeles - Jefferson Park	1894	23461	18	223
Los Angeles - Koreatown	9021	17451	132	255
Los Angeles - Lafayette Square	913	20026	9	197
Los Angeles - Lake Balboa	9337	22122	75	178
Los Angeles - Lakeview Terrace	3588	27320	45	343
Los Angeles - Leimert Park	3151	20683	25	164
Los Angeles - Lincoln Heights	7676	23548	198	607
Los Angeles - Little Armenia	1738	21657	91	1134
Los Angeles - Little Bangladesh	4751	16763	36	127
Los Angeles - Little Tokyo	740	23620	12	383
Los Angeles - Longwood	1003	23304	9	209
Los Angeles - Los Feliz	2791	12917	30	139
Los Angeles - Manchester Square	1842	21579	17	199
Los Angeles - Mandeville Canyon	386	12356	1	32
Los Angeles - Mar Vista	5389	12689	37	87
Los Angeles - Marina Peninsula	490	11239	2	46
Los Angeles - Melrose	15232	19605	231	297
Los Angeles - Mid-city	2489	16560	46	306
Los Angeles - Miracle Mile	2619	14562	20	111
Los Angeles - Mission Hills	7340	30426	135	560
Los Angeles - Mt. Washington	4771	19760	68	282
Los Angeles - North Hills	15197	24680	166	270
Los Angeles - North Hollywood	35699	23576	409	270
Los Angeles - Northridge	14235	20395	199	285
Los Angeles - Pacific Palisades	2315	10873	15	70
Los Angeles - Pacoima	24883	32324	253	329
Los Angeles - Palisades Highlands	423	10998	1	26
Los Angeles - Palms	6064	13820	70	160
Los Angeles - Panorama City	20425	27143	300	399
