City of Agoura Hills	751	3596	11	53
City of Alhambra	5445	6279	96	111
City of Arcadia	2085	3610	67	116
City of Artesia	1626	9681	33	196
City of Avalon	8	207	0	0
City of Azusa	5150	10292	70	140
City of Baldwin Park	10834	14112	174	227
City of Bell	5486	15100	70	193
City of Bell Gardens	6898	16015	55	128
City of Bellflower	8679	11165	105	135
City of Beverly Hills	2018	5846	19	55
City of Bradbury	32	2993	0	0
City of Burbank	6638	6193	151	141
City of Calabasas	881	3622	13	53
City of Carson	7103	7569	115	123
City of Cerritos	2283	4560	25	50
City of Claremont	1778	4873	32	88
City of Commerce*	2080	15916	25	191
City of Compton	13669	13682	132	132
City of Covina	5215	10636	94	192
City of Cudahy	3933	16154	33	136
City of Culver City	1660	4164	55	138
City of Diamond Bar	2505	4355	27	47
City of Downey	14546	12730	147	129
City of Duarte	1845	8380	53	241
City of El Monte	14101	12024	266	227
City of El Segundo	510	3038	3	18
City of Gardena	4892	7979	103	168
City of Glendale	14557	7050	350	169
City of Glendora	3798	7198	110	208
City of Hawaiian Gardens	1859	12667	4	27
City of Hawthorne	7933	8935	103	116
City of Hermosa Beach	736	3742	7	36
City of Hidden Hills	60	3175	0	0
City of Huntington Park	9429	15851	101	170
City of Industry	121	27689	3	686
City of Inglewood	10557	9295	178	157
City of Irwindale	211	14462	2	137
City of La Canada Flintridge	602	2909	12	58
City of La Habra Heights	90	1650	1	18
City of La Mirada	3366	6786	63	127
City of La Puente	5531	13591	57	140
City of La Verne	2212	6646	32	96
City of Lakewood	5627	7002	36	45
City of Lancaster*	17113	10592	153	95
City of Lawndale	2683	7982	25	74
City of Lomita	1027	4954	10	48
City of Long Beach	42281	8736	506	104
City of Lynwood*	10976	15234	160	222
City of Malibu	271	2091	6	46
City of Manhattan Beach	971	2697	8	22
City of Maywood	4312	15373	54	193
City of Monrovia	2520	6495	47	121
City of Montebello	8443	13115	101	157
City of Monterey Park	3763	6044	111	178
City of Norwalk	13055	12130	175	163
City of Palmdale	19377	12189	148	93
City of Palos Verdes Estates	275	2034	3	22
City of Paramount	8208	14651	79	141
City of Pasadena	8941	5125	189	108
City of Pico Rivera	9197	14307	139	216
City of Pomona	20227	12972	272	174
City of Rancho Palos Verdes	987	2309	33	77
City of Redondo Beach	2015	2933	16	23
City of Rolling Hills	34	1753	0	0
City of Rolling Hills Estates	185	2280	5	62
City of Rosemead	3781	6831	68	123
City of San Dimas*	2445	7084	45	130
City of San Fernando	4143	16833	38	154
