City of Agoura Hills	378	1810	7	34
City of Alhambra	2468	2846	37	43
City of Arcadia	1013	1754	40	69
City of Artesia	742	4418	15	89
City of Avalon	5	129	0	0
City of Azusa	2697	5390	31	62
City of Baldwin Park	5353	6973	115	150
City of Bell	2744	7553	47	129
City of Bell Gardens	3602	8363	34	79
City of Bellflower	4140	5326	70	90
City of Beverly Hills	1169	3386	11	32
City of Bradbury	30	2806	0	0
City of Burbank	3383	3156	99	92
City of Calabasas	506	2080	13	53
City of Carson	3343	3562	65	69
City of Cerritos	1036	2069	18	36
City of Claremont	883	2420	12	33
City of Commerce*	1103	8440	14	107
City of Compton	6946	6953	83	83
City of Covina	2549	5199	63	128
City of Cudahy	1982	8141	19	78
City of Culver City	814	2042	36	90
City of Diamond Bar	1189	2067	17	30
City of Downey	7563	6619	103	90
City of Duarte	969	4401	38	173
City of El Monte	7698	6564	200	171
City of El Segundo	247	1471	1	6
City of Gardena	2282	3722	68	111
City of Glendale	7603	3682	204	99
City of Glendora	2084	3950	85	161
City of Hawaiian Gardens	946	6446	3	20
City of Hawthorne	3798	4278	62	70
City of Hermosa Beach	417	2120	4	20
City of Hidden Hills	31	1640	0	0
City of Huntington Park	4877	8199	67	113
City of Industry	73	16705	2	458
City of Inglewood	5215	4591	106	93
City of Irwindale	111	7608	2	137
City of La Canada Flintridge	320	1546	6	29
City of La Habra Heights	73	1338	1	18
City of La Mirada	1683	3393	30	60
City of La Puente	2846	6993	30	74
City of La Verne	1102	3311	16	48
City of Lakewood	2476	3081	17	21
City of Lancaster*	8610	5329	89	55
City of Lawndale	1267	3769	13	39
City of Lomita	427	2060	9	43
City of Long Beach	20088	4150	290	59
City of Lynwood*	5749	7980	119	165
City of Malibu	176	1358	3	23
City of Manhattan Beach	607	1686	4	11
City of Maywood	2309	8232	43	153
City of Monrovia	1327	3420	41	106
City of Montebello	4263	6622	61	95
City of Monterey Park	1780	2859	62	100
City of Norwalk	6374	5923	103	96
City of Palmdale	9950	6259	96	60
City of Palos Verdes Estates	161	1191	2	15
City of Paramount	4161	7427	33	59
City of Pasadena	4536	2600	138	79
City of Pico Rivera	4790	7451	88	137
City of Pomona	10877	6976	168	108
City of Rancho Palos Verdes	529	1238	12	28
City of Redondo Beach	1115	1623	13	19
City of Rolling Hills	16	825	0	0
City of Rolling Hills Estates	90	1109	3	37
City of Rosemead	1782	3220	37	67
City of San Dimas*	1223	3543	17	49
City of San Fernando	2100	8532	25	102
City of San Gabriel	1230	3003	106	259
City of San Marino	153	1152	4	30
City of Santa Clarita	7838	3556	73	33
City of Santa Fe Springs	1080	5881	11	60
City of Santa Monica	1825	1974	52	56
City of Sierra Madre	198	1802	5	46
City of Signal Hill	456	3865	4	34
City of South El Monte	1490	7134	18	86
City of South Gate	7857	8005	85	87
City of South Pasadena	528	2027	28	107
City of Temple City	971	2664	54	148
City of Torrance	2484	1664	78	52
City of Vernon	34	16268	0	0
City of Walnut	661	2165	5	16
City of West Covina	5331	4925	76	70
City of West Hollywood	1076	2912	9	24
City of Westlake Village	63	754	0	0
City of Whittier	4665	5336	71	81
Los Angeles	204664	5060	3407	84
Los Angeles - Adams-Normandie	486	5925	5	61
Los Angeles - Alsace	665	5344	4	32
Los Angeles - Angeles National Forest	2	5000	0	0
Los Angeles - Angelino Heights	114	4556	1	40
Los Angeles - Arleta	2952	8589	30	87
Los Angeles - Atwater Village	497	3389	8	55
Los Angeles - Baldwin Hills	1066	3425	29	93
Los Angeles - Bel Air	151	1791	0	0
Los Angeles - Beverly Crest	265	2116	2	16
Los Angeles - Beverlywood	321	2437	0	0
