City of Agoura Hills	140	670	2	10
City of Alhambra	1103	1272	23	27
City of Arcadia	429	743	30	52
City of Artesia	290	1727	4	24
City of Avalon	5	129	0	0
City of Azusa	1348	2694	15	30
City of Baldwin Park	2520	3283	73	95
City of Bell	1401	3856	36	99
City of Bell Gardens	1708	3966	21	49
City of Bellflower	2109	2713	55	71
City of Beverly Hills	594	1721	11	32
City of Bradbury	13	1216	0	0
City of Burbank	1260	1176	55	51
City of Calabasas	229	941	12	49
City of Carson	1627	1734	48	51
City of Cerritos	499	997	13	26
City of Claremont	327	896	8	22
City of Commerce*	507	3879	9	69
City of Compton	3563	3566	55	55
City of Covina	1205	2458	22	45
City of Cudahy	991	4070	15	62
City of Culver City	364	913	29	73
City of Diamond Bar	485	843	8	14
City of Downey	3600	3151	76	67
City of Duarte	448	2035	25	114
City of El Monte	3919	3342	129	110
City of El Segundo	115	685	1	6
City of Gardena	1075	1753	37	60
City of Glendale	2943	1425	157	76
City of Glendora	1126	2134	61	116
City of Hawaiian Gardens	474	3230	2	14
City of Hawthorne	1743	1963	36	41
City of Hermosa Beach	185	941	3	15
City of Hidden Hills	7	370	0	0
City of Huntington Park	2529	4252	39	66
City of Industry	30	6865	2	458
City of Inglewood	2555	2249	82	72
City of Irwindale	62	4249	2	137
City of La Canada Flintridge	153	739	7	34
City of La Habra Heights	32	587	0	0
City of La Mirada	759	1530	25	50
City of La Puente	1340	3293	15	37
City of La Verne	399	1199	10	30
City of Lakewood	1102	1371	9	11
City of Lancaster*	2770	1714	37	23
City of Lawndale	571	1699	9	27
City of Lomita	217	1047	8	39
City of Long Beach	10111	2089	201	41
City of Lynwood*	2881	3999	85	118
City of Malibu	91	702	3	23
City of Manhattan Beach	306	850	4	11
City of Maywood	1261	4496	30	107
City of Monrovia	659	1698	35	90
City of Montebello	2007	3118	40	62
City of Monterey Park	842	1352	28	45
City of Norwalk	2910	2704	66	61
City of Palmdale	3480	2189	50	31
City of Palos Verdes Estates	78	577	2	15
City of Paramount	2159	3854	25	45
City of Pasadena	2291	1313	111	63
City of Pico Rivera	2129	3312	63	98
City of Pomona	4800	3078	97	62
City of Rancho Palos Verdes	262	613	12	28
City of Redondo Beach	508	739	9	13
City of Rolling Hills	8	412	0	0
City of Rolling Hills Estates	37	456	2	25
City of Rosemead	729	1317	24	43
City of San Dimas*	457	1324	11	32
City of San Fernando	770	3129	17	69
City of San Gabriel	545	1331	37	90
City of San Marino	69	520	2	15
City of Santa Clarita	2820	1279	41	19
City of Santa Fe Springs	480	2614	5	27
City of Santa Monica	744	805	39	42
City of Sierra Madre	66	601	3	27
City of Signal Hill	236	2001	1	8
City of South El Monte	718	3438	13	62
City of South Gate	3947	4021	59	60
City of South Pasadena	242	929	26	100
City of Temple City	472	1295	40	110
City of Torrance	1250	837	62	42
City of Vernon	9	4306	0	0
City of Walnut	237	776	3	10
City of West Covina	2511	2320	51	47
City of West Hollywood	482	1304	5	14
City of Westlake Village	25	299	0	0
City of Whittier	1962	2244	25	29
Los Angeles	94424	2335	2444	60
Los Angeles - Adams-Normandie	233	2841	3	37
Los Angeles - Alsace	318	2555	2	16
Los Angeles - Angeles National Forest	2	5000	0	0
Los Angeles - Angelino Heights	57	2278	1	40
Los Angeles - Arleta	1226	3567	23	67
Los Angeles - Atwater Village	208	1418	5	34
Los Angeles - Baldwin Hills	548	1761	26	84
Los Angeles - Bel Air	69	819	0	0
