City of Agoura Hills	249	1192	6	29
City of Alhambra	1610	1856	34	39
City of Arcadia	658	1139	43	74
City of Artesia	464	2763	11	65
City of Avalon	5	129	0	0
City of Azusa	1966	3929	25	50
City of Baldwin Park	3788	4934	104	135
City of Bell	1962	5400	45	124
City of Bell Gardens	2473	5742	27	63
City of Bellflower	2957	3804	63	81
City of Beverly Hills	853	2471	12	35
City of Bradbury	21	1964	0	0
City of Burbank	2278	2125	76	71
City of Calabasas	360	1480	14	58
City of Carson	2290	2440	67	71
City of Cerritos	729	1456	17	34
City of Claremont	547	1499	10	27
City of Commerce*	742	5678	13	99
City of Compton	4932	4937	83	83
City of Covina	1766	3602	57	116
City of Cudahy	1360	5586	18	74
City of Culver City	509	1277	28	70
City of Diamond Bar	776	1349	11	19
City of Downey	5253	4597	91	80
City of Duarte	697	3166	31	141
City of El Monte	5446	4644	177	151
City of El Segundo	168	1001	1	6
City of Gardena	1490	2430	57	93
City of Glendale	5307	2570	186	90
City of Glendora	1510	2862	78	148
City of Hawaiian Gardens	625	4259	3	20
City of Hawthorne	2438	2746	51	57
City of Hermosa Beach	303	1540	4	20
City of Hidden Hills	22	1164	0	0
City of Huntington Park	3541	5953	65	109
City of Industry	61	13959	2	458
City of Inglewood	3593	3163	94	83
City of Irwindale	83	5689	2	137
City of La Canada Flintridge	226	1092	6	29
City of La Habra Heights	66	1210	1	18
City of La Mirada	1079	2175	26	52
City of La Puente	1924	4728	28	69
City of La Verne	677	2034	13	39
City of Lakewood	1625	2022	16	20
City of Lancaster*	5294	3277	69	43
City of Lawndale	846	2517	13	39
City of Lomita	299	1442	9	43
City of Long Beach	14330	2960	266	54
City of Lynwood*	4018	5577	108	150
City of Malibu	135	1042	3	23
City of Manhattan Beach	465	1292	5	14
City of Maywood	1706	6082	38	135
City of Monrovia	968	2495	42	108
City of Montebello	2932	4555	54	84
City of Monterey Park	1180	1895	51	82
City of Norwalk	4274	3971	89	83
City of Palmdale	6305	3966	81	51
City of Palos Verdes Estates	125	924	2	15
City of Paramount	2965	5292	31	55
City of Pasadena	3099	1776	129	73
City of Pico Rivera	3130	4869	82	128
City of Pomona	7139	4578	146	94
City of Rancho Palos Verdes	378	884	13	30
City of Redondo Beach	764	1112	12	17
City of Rolling Hills	12	619	0	0
City of Rolling Hills Estates	59	727	3	37
City of Rosemead	1118	2020	32	58
City of San Dimas*	733	2124	15	43
City of San Fernando	1362	5534	20	81
City of San Gabriel	839	2049	71	173
City of San Marino	104	783	2	15
City of Santa Clarita	5211	2364	65	29
City of Santa Fe Springs	692	3768	7	38
City of Santa Monica	1254	1356	41	44
City of Sierra Madre	105	956	4	36
City of Signal Hill	359	3043	4	34
City of South El Monte	1026	4913	17	81
City of South Gate	5500	5603	77	78
City of South Pasadena	359	1378	26	100
City of Temple City	632	1734	43	118
City of Torrance	1763	1181	72	48
City of Vernon	17	8134	0	0
City of Walnut	403	1320	6	20
City of West Covina	3676	3396	73	67
City of West Hollywood	818	2214	8	22
City of Westlake Village	46	550	0	0
City of Whittier	3006	3438	42	48
Los Angeles	141569	3500	3083	76
Los Angeles - Adams-Normandie	346	4218	5	61
Los Angeles - Alsace	474	3809	3	24
Los Angeles - Angeles National Forest	2	5000	0	0
Los Angeles - Angelino Heights	83	3317	1	40
Los Angeles - Arleta	2043	5944	28	81
Los Angeles - Atwater Village	343	2339	8	55
Los Angeles - Baldwin Hills	776	2493	29	93
Los Angeles - Bel Air	115	1364	0	0
Los Angeles - Beverly Crest	179	1429	2	16
Los Angeles - Beverlywood	212	1609	0	0
Los Angeles - Boyle Heights*	5321	6124	78	90
Los Angeles - Brentwood	424	1370	3	10
Los Angeles - Brookside	6	1033	0	0
Los Angeles - Cadillac-Corning	166	2331	1	14
Los Angeles - Canoga Park	2634	4034	64	98
Los Angeles - Carthay	287	1998	17	118
Los Angeles - Central	2549	6537	45	115
Los Angeles - Century City	174	1360	0	0
Los Angeles - Century Palms/Cove	1789	5298	23	68
Los Angeles - Chatsworth	921	2485	38	103
Los Angeles - Cheviot Hills	114	1243	3	33
Los Angeles - Chinatown	175	2182	3	37
Los Angeles - Cloverdale/Cochran	392	2694	5	34
Los Angeles - Country Club Park	455	3003	36	238
Los Angeles - Crenshaw District	398	2878	5	36
Los Angeles - Crestview	242	2129	22	194
Los Angeles - Del Rey	482	1610	10	33
Los Angeles - Downtown*	1045	3799	18	65
Los Angeles - Eagle Rock	882	2228	27	68
Los Angeles - East Hollywood	820	2800	45	154
Los Angeles - Echo Park	360	2525	6	42
Los Angeles - El Sereno	1660	3971	37	88
Los Angeles - Elysian Park	129	2258	0	0
Los Angeles - Elysian Valley	347	3412	5	49
Los Angeles - Encino	958	2121	21	46
Los Angeles - Exposition	86	2586	2	60
Los Angeles - Exposition Park	1691	3765	26	58
Los Angeles - Faircrest Heights	49	1361	2	56
Los Angeles - Figueroa Park Square	402	4610	5	57
Los Angeles - Florence-Firestone	2824	5952	36	76
Los Angeles - Glassell Park	912	2886	15	47
Los Angeles - Gramercy Place	318	2954	6	56
Los Angeles - Granada Hills	1692	2908	69	119
Los Angeles - Green Meadows	1130	5255	16	74
Los Angeles - Hancock Park	309	1813	4	23
Los Angeles - Harbor City	608	2092	12	41
Los Angeles - Harbor Gateway	1215	2787	20	46
