City of Agoura Hills	478	2289	8	38
City of Alhambra	3263	3763	40	46
City of Arcadia	1282	2220	45	78
City of Artesia	958	5704	22	131
City of Avalon	5	129	0	0
City of Azusa	3396	6787	36	72
City of Baldwin Park	6751	8794	121	158
City of Bell	3500	9633	52	143
City of Bell Gardens	4565	10599	36	84
City of Bellflower	5432	6988	73	94
City of Beverly Hills	1375	3983	14	41
City of Bradbury	32	2993	0	0
City of Burbank	4213	3931	105	98
City of Calabasas	600	2467	13	53
City of Carson	4357	4643	67	71
City of Cerritos	1345	2686	19	38
City of Claremont	1136	3114	15	41
City of Commerce*	1387	10613	15	115
City of Compton	8830	8838	92	92
City of Covina	3331	6794	66	135
City of Cudahy	2496	10252	21	86
City of Culver City	1042	2614	38	95
City of Diamond Bar	1562	2716	17	30
City of Downey	9559	8366	106	93
City of Duarte	1167	5301	41	186
City of El Monte	9449	8058	211	180
City of El Segundo	314	1871	1	6
City of Gardena	3033	4947	71	116
City of Glendale	9321	4514	225	109
City of Glendora	2518	4772	88	167
City of Hawaiian Gardens	1189	8102	3	20
City of Hawthorne	4895	5513	69	78
City of Hermosa Beach	512	2603	4	20
City of Hidden Hills	33	1746	0	0
City of Huntington Park	6191	10408	71	119
City of Industry	92	21053	2	458
City of Inglewood	6602	5813	121	107
City of Irwindale	156	10692	2	137
City of La Canada Flintridge	382	1846	6	29
City of La Habra Heights	88	1613	1	18
City of La Mirada	2148	4331	36	73
City of La Puente	3639	8942	33	81
City of La Verne	1392	4182	19	57
City of Lakewood	3322	4134	19	24
City of Lancaster*	11492	7113	106	66
City of Lawndale	1656	4927	16	48
City of Lomita	577	2784	9	43
City of Long Beach	25049	5175	315	65
City of Lynwood*	7171	9953	124	172
City of Malibu	194	1497	5	39
City of Manhattan Beach	691	1919	4	11
City of Maywood	2909	10371	48	171
City of Monrovia	1634	4211	41	106
City of Montebello	5568	8649	70	109
City of Monterey Park	2323	3731	72	116
City of Norwalk	8071	7499	116	108
City of Palmdale	12773	8035	106	67
City of Palos Verdes Estates	187	1383	2	15
City of Paramount	5276	9418	37	66
City of Pasadena	5619	3220	145	83
City of Pico Rivera	6102	9492	92	143
City of Pomona	13747	8816	188	121
City of Rancho Palos Verdes	648	1516	16	37
City of Redondo Beach	1328	1933	14	20
City of Rolling Hills	19	979	0	0
City of Rolling Hills Estates	120	1479	3	37
City of Rosemead	2296	4148	42	76
City of San Dimas*	1526	4421	22	64
City of San Fernando	2655	10787	27	110
City of San Gabriel	1568	3829	107	261
City of San Marino	192	1446	6	45
City of Santa Clarita	9733	4416	85	39
City of Santa Fe Springs	1416	7711	13	71
City of Santa Monica	2254	2438	56	61
City of Sierra Madre	251	2284	5	46
City of Signal Hill	590	5001	4	34
City of South El Monte	1882	9011	18	86
City of South Gate	9879	10065	91	93
City of South Pasadena	669	2568	28	107
City of Temple City	1217	3338	63	173
City of Torrance	3165	2120	79	53
City of Vernon	45	21531	0	0
City of Walnut	843	2761	7	23
City of West Covina	6732	6220	81	75
City of West Hollywood	1250	3383	10	27
City of Westlake Village	69	825	0	0
City of Whittier	5921	6772	85	97
Los Angeles	257874	6376	3679	91
Los Angeles - Adams-Normandie	610	7437	5	61
Los Angeles - Alsace	822	6605	4	32
Los Angeles - Angeles National Forest	3	7500	0	0
Los Angeles - Angelino Heights	148	5915	1	40
Los Angeles - Arleta	3614	10515	33	96
Los Angeles - Atwater Village	651	4439	8	55
Los Angeles - Baldwin Hills	1394	4479	30	96
Los Angeles - Bel Air	183	2171	0	0
Los Angeles - Beverly Crest	331	2643	2	16
Los Angeles - Beverlywood	422	3204	0	0
Los Angeles - Boyle Heights*	9489	10921	102	117
Los Angeles - Brentwood	761	2458	5	16
Los Angeles - Brookside	13	2238	1	172
Los Angeles - Cadillac-Corning	357	5013	2	28
Los Angeles - Canoga Park	4684	7174	82	126
Los Angeles - Carthay	529	3683	23	160
Los Angeles - Central	4217	10815	50	128
Los Angeles - Century City	298	2330	2	16
Los Angeles - Century Palms/Cove	3234	9578	29	86
Los Angeles - Chatsworth	1849	4989	39	105
Los Angeles - Cheviot Hills	210	2290	2	22
Los Angeles - Chinatown	381	4750	3	37
Los Angeles - Cloverdale/Cochran	793	5449	8	55
Los Angeles - Country Club Park	794	5240	37	244
Los Angeles - Crenshaw District	767	5546	4	29
Los Angeles - Crestview	484	4258	25	220
Los Angeles - Del Rey	1068	3568	9	30
Los Angeles - Downtown*	2009	7304	21	76
Los Angeles - Eagle Rock	1831	4625	31	78
Los Angeles - East Hollywood	1550	5292	49	167
Los Angeles - Echo Park	679	4763	8	56
Los Angeles - El Sereno	3246	7764	46	110
Los Angeles - Elysian Park	273	4779	0	0
Los Angeles - Elysian Valley	622	6115	8	79
Los Angeles - Encino	1715	3797	25	55
Los Angeles - Exposition	186	5592	2	60
Los Angeles - Exposition Park	3173	7064	31	69
Los Angeles - Faircrest Heights	90	2500	1	28
Los Angeles - Figueroa Park Square	752	8623	7	80
Los Angeles - Florence-Firestone	5117	10785	51	107
Los Angeles - Glassell Park	1620	5126	17	54
Los Angeles - Gramercy Place	630	5853	7	65
